DATE,SRAD,TMAX,TMIN,TAVG,VAPR,TDEW,RHMAX,WNDSP,RAIN,ETREF
1979-01-01,14.4558,21.4205,4.4202,12.2751,0.9724,11.8706,70.0725,2.0322,0.0,2.393159280568294
1979-01-02,14.0668,21.7589,2.977,13.1747,1.0238,13.5167,69.2941,1.6514,0.0,2.1222957104645968
1979-01-03,12.6244,22.7989,8.6385,14.8051,1.0263,15.1849,62.4304,2.5457,0.0,2.919810960232927
1979-01-04,14.5058,22.4677,7.3418,14.3078,0.9896,14.1557,61.9244,3.4182,0.0,3.329886303180207
1979-01-05,14.8179,22.4257,4.3447,12.8382,0.8593,10.6602,60.8199,3.2513,0.0,3.389063134002994
1979-01-06,14.5603,21.8881,3.5809,13.3278,0.9553,12.6665,64.9911,1.7681,0.0,2.3483410767913515
1979-01-07,14.6373,22.3192,5.5376,13.3229,1.0907,14.5887,72.8758,1.3442,0.0,2.1057835701083922
1979-01-08,14.6386,23.2149,6.0463,14.7094,1.117,16.3346,68.5549,2.6551,0.0,2.818593310884105
1979-01-09,14.8671,22.125,7.3943,14.2249,0.9691,13.7681,61.8991,3.0324,0.0,3.1848350088441575
1979-01-10,14.9418,23.0625,6.8716,14.5378,0.9525,13.8308,58.8771,3.5947,0.0,3.635441101855387
1979-01-11,14.9955,23.2432,5.7918,13.3632,0.9147,12.0763,62.2317,2.7496,0.0,3.285773874278217
1979-01-12,14.5269,22.318,4.4093,13.4794,1.0321,13.9397,69.2601,1.9596,0.0,2.458148627696098
1979-01-13,14.1842,23.5856,6.3677,15.6507,1.1147,17.2518,64.5229,3.2814,0.0,3.1819955983904062
1979-01-14,10.1043,19.7844,10.8514,15.5768,1.4379,21.0087,81.1736,3.3022,0.0,1.8627703679586913
1979-01-15,11.345,20.8584,10.3429,15.7898,1.5362,22.2419,85.6885,2.2496,0.0,1.7232497257243287
1979-01-16,8.3224,18.6997,11.7076,14.1069,1.5175,20.3282,93.8748,2.1177,0.0,1.3807856605108175
1979-01-17,10.0283,18.5333,8.02,13.2588,1.3117,17.258,86.2647,2.2407,0.0,1.5429618093090547
1979-01-18,15.2297,19.9611,8.1197,13.2437,1.2761,16.8311,83.9087,2.2131,0.0,2.095355017164402
1979-01-19,12.4479,18.9919,7.2063,13.5351,1.2456,16.7658,80.8395,1.4217,0.0,1.6679812195254136
1979-01-20,12.6002,18.8607,7.0503,13.6424,1.1846,16.1286,76.7331,1.5656,0.0,1.7683076911374165
1979-01-21,15.8124,19.4994,7.904,13.8322,1.0771,14.917,68.1829,3.1309,0.0,2.6688041133048572
1979-01-22,13.8629,19.0411,6.2291,12.3838,0.9349,11.4142,65.6166,2.6116,0.0,2.553081277998227
1979-01-23,16.0129,21.349,6.0599,13.7571,1.1477,15.7762,73.4433,2.4901,0.0,2.551206575558555
1979-01-24,16.3313,21.4358,5.404,12.8985,1.0504,13.6122,72.3704,2.3805,0.0,2.695937116411479
1979-01-25,15.454,21.2393,6.205,14.0415,1.1267,15.7898,71.6579,1.3726,0.0,2.190478267075486
1979-01-26,15.8895,21.0417,6.4009,13.8524,1.0437,14.4757,67.6577,2.3617,0.0,2.6971403387708537
1979-01-27,15.977,20.8042,5.2097,13.3267,1.0054,13.4049,67.5937,2.3165,0.0,2.65632701378677
1979-01-28,12.2893,17.871,4.8831,13.0807,1.2115,15.8934,80.3532,3.7136,28.13627232,1.6852764333148944
1979-01-29,7.4635,18.5067,7.7721,13.3421,1.3626,17.9146,88.2053,3.1037,0.0,1.3949068107341993
1979-01-30,14.4007,18.7391,6.8577,13.0962,1.095,14.4189,72.1107,2.3352,0.0,2.237536472802896
1979-01-31,17.0476,18.973,6.6727,11.918,0.9994,11.9097,72.7216,2.7347,0.0,2.6962194376370534
1979-02-01,14.9274,19.1719,6.2357,12.3956,1.0175,12.6469,72.239,2.4569,0.0,2.487436727705649
1979-02-02,17.2165,19.5497,5.9742,12.9451,0.9781,12.6242,66.4339,3.49,0.0,3.022821854945087
1979-02-03,17.5123,20.3912,6.2442,13.1247,1.0051,13.1991,67.751,3.6689,0.0,3.2163075597251582
1979-02-04,13.8683,19.626,4.8355,12.0335,1.0259,12.4034,74.5554,2.1224,0.0,2.3232713497993047
1979-02-05,17.8086,20.4458,4.6244,12.9063,1.0835,14.0732,74.7541,1.2616,0.0,2.3044202359396704
1979-02-06,16.3078,21.4154,6.1278,14.0933,1.1812,16.5409,74.5224,2.1149,0.0,2.5532941063007124
1979-02-07,15.8382,20.7659,7.3874,13.4103,1.288,17.1388,84.5366,1.5836,0.0,2.2356773694252374
1979-02-08,13.4685,20.3216,7.0109,13.0882,1.2733,16.6405,84.9183,1.779,0.0,2.0659117902469504
1979-02-09,17.9775,22.0555,6.9082,14.1822,1.1587,16.345,73.5314,2.8069,0.0,3.0853476707541305
1979-02-10,16.2729,22.3105,8.0242,15.1476,1.2262,18.1644,72.9403,1.8047,0.0,2.6742204109465115
1979-02-11,18.0705,23.5911,8.392,15.4115,1.2319,18.501,72.7026,1.9829,0.0,3.0681305974793496
1979-02-12,18.3262,23.9552,8.2238,16.2188,1.2571,19.6223,70.2807,1.6217,0.0,2.9609927220879313
1979-02-13,18.1399,26.3644,10.4579,18.2618,1.367,22.9735,67.2961,1.5613,0.0,3.2429849383804332
1979-02-14,13.5682,24.9281,12.8213,18.145,1.5339,24.6332,74.386,2.0653,0.0,2.87427011466153
1979-02-15,12.7616,23.2885,14.3414,18.0329,1.6801,25.9418,81.5059,3.9462,0.0,2.872106889758677
1979-02-16,5.286,18.5341,11.1742,15.7648,1.635,23.1799,90.5367,4.044,0.0,0.9350767673826847
1979-02-17,16.8537,23.968,12.2004,18.0681,1.6834,26.0092,81.2465,1.1687,0.0,2.5979747530956896
1979-02-18,18.0033,25.1612,12.8188,19.5726,1.6697,27.4309,73.9254,3.2061,7.110833184,3.4092177018160332
1979-02-19,8.5172,18.8063,12.1209,15.9766,1.6291,23.3424,89.3691,5.9634,22.27794624,1.4317286094314912
1979-02-20,18.7883,19.4736,5.1162,13.8164,1.0355,14.3247,65.8966,3.3617,0.0,3.008900173337759
1979-02-21,20.1961,18.7797,7.1381,12.9929,0.9485,12.2287,64.322,3.8625,0.0,3.483393198233186
1979-02-22,16.5793,18.7261,7.5055,13.4917,1.0694,14.4692,69.9752,2.9501,0.0,2.806928595088573
1979-02-23,20.1361,20.6878,7.8621,14.4741,1.1434,16.4434,70.6789,2.4557,0.0,3.1481150152810042
1979-02-24,20.3414,20.925,7.8057,14.9522,1.1017,16.3748,65.819,3.0822,0.0,3.449688099528798
1979-02-25,19.5086,21.22,8.7864,15.6049,1.1893,18.169,68.2768,2.6694,0.0,3.260592308943973
1979-02-26,20.3715,22.7298,8.6132,15.7131,1.1692,18.0248,67.0535,1.8161,0.0,3.3292075309201716
1979-02-27,14.8329,21.9407,8.2329,14.5094,1.1757,16.8913,71.8693,2.4916,0.0,3.007033147813482
1979-02-28,21.0016,22.8089,8.1587,15.6659,1.1384,17.5794,65.7502,3.5689,0.0,4.00605100950434
1979-03-01,13.2182,21.7364,9.4719,15.7823,1.1964,18.4375,67.3279,2.2212,0.0,2.8358729464224917
1979-03-02,11.1138,22.8359,13.1707,17.6825,1.2535,21.062,61.7567,4.2988,0.0,3.8373291334497734
1979-03-03,15.7702,21.74,13.8876,17.9241,1.3276,22.1814,64.7929,4.7431,0.0,3.906676997245589
1979-03-04,14.0234,21.5698,13.9355,17.7815,1.5186,24.105,74.2324,5.1772,16.48992384,3.2447524929608003
1979-03-05,17.7168,24.9926,13.9451,19.8753,1.6339,27.4004,70.5388,3.9549,13.11850944,3.8640963497398126
1979-03-06,18.5887,24.474,9.246,17.3747,1.4891,23.3847,76.1973,2.7353,0.0,3.3719576165618745
1979-03-07,19.7529,18.8405,6.1396,13.1576,0.8299,10.4826,57.609,2.4906,0.0,3.43354308816326
1979-03-08,22.7904,16.8435,4.4879,10.9237,0.6137,4.0995,52.0721,3.7671,0.0,4.069770557936382
1979-03-09,22.6886,16.8335,5.1355,11.5252,0.827,8.8179,63.2604,3.5932,0.0,3.4767748152755606
1979-03-10,22.8404,19.6223,7.5315,13.7918,0.8839,12.0095,57.9987,5.3947,0.0,4.5569219782246995
1979-03-11,22.5834,21.769,9.1312,15.9914,1.0194,16.2742,57.5923,4.4105,0.0,4.6219593786002555
1979-03-12,23.0759,23.8842,11.0103,17.8473,1.106,19.344,55.5774,4.4294,0.0,5.169874634548016
1979-03-13,23.231,24.5103,10.8727,17.977,1.0406,18.5668,53.3629,3.9479,0.0,5.321081936839553
1979-03-14,23.1334,25.9059,10.7576,18.8281,1.1401,20.7872,55.6965,3.4563,0.0,5.206221797678344
1979-03-15,20.6028,25.399,12.7187,18.6014,1.047,19.2832,51.7647,3.8269,0.0,5.4755437949036665
1979-03-16,16.2302,25.5366,12.4568,20.2288,1.2411,23.491,53.941,2.5383,0.0,4.103165987727394
1979-03-17,17.2514,24.8798,12.6606,19.21,1.4974,25.3505,68.7642,2.7305,0.0,3.723811320276387
1979-03-18,23.5546,25.5747,11.9148,18.8525,1.3517,23.4019,65.3644,2.1028,0.0,4.37733242038907
1979-03-19,23.4108,26.308,12.2762,19.9134,1.4001,25.0249,63.1041,2.7208,0.0,4.711717554941103
1979-03-20,23.6559,28.2601,13.0955,20.9249,1.3096,25.0222,56.8655,2.5772,0.0,5.261450598401838
1979-03-21,23.7935,28.8265,14.1632,20.8569,1.1976,23.5808,52.5786,2.9473,0.0,5.870447451443756
1979-03-22,24.178,30.275,13.7372,22.2396,1.1195,23.9474,45.9456,2.3515,0.0,5.824114151907396
1979-03-23,22.8485,31.8752,15.6985,23.4461,1.1808,25.9797,44.9645,2.6419,0.0,6.297027570314937
1979-03-24,22.2466,31.8301,15.9929,23.9272,1.1477,26.0274,41.7716,2.2994,0.0,5.978216265056306
1979-03-25,22.982,31.3057,15.4686,23.2133,1.2099,26.1195,46.4205,2.3637,0.0,5.935904768541987
1979-03-26,21.4984,31.4882,15.0346,23.7242,1.2499,27.1392,46.4554,2.5615,0.0,5.936468272936185
1979-03-27,24.5867,31.6474,16.3758,24.3912,1.3295,28.7789,46.9049,3.483,0.0,6.961555219959885
1979-03-28,22.8739,32.513,17.1988,24.7693,1.402,29.9996,48.0482,3.5972,0.0,7.050938652082977
1979-03-29,24.2115,34.0534,18.9859,25.9865,1.2894,29.919,41.0498,2.6236,0.0,6.957022143642223
1979-03-30,20.5749,33.1413,18.528,25.5305,1.326,29.8965,41.9366,2.6007,0.0,6.345521939830374
1979-03-31,24.5997,33.4243,18.367,25.3213,1.0864,26.5882,36.1996,2.1797,0.0,6.584194722911268
1979-04-01,23.5155,33.1621,18.2229,26.1131,1.1106,27.7236,35.4298,2.256,0.0,6.509847469069176
1979-04-02,24.4759,34.4018,19.1095,26.8811,1.2201,29.9595,37.9865,1.8255,0.0,6.269798231003323
1979-04-03,23.2005,33.8284,18.3917,26.6108,1.3572,31.3624,41.7493,2.6633,0.0,6.797772897901268
1979-04-04,21.7599,32.2891,16.9043,23.8857,1.3797,28.8459,51.0236,2.8746,0.0,6.411104775223844
1979-04-05,21.8351,28.7342,16.1758,22.2155,1.6089,29.5635,62.399,2.0884,0.0,4.899055926430506
1979-04-06,24.9101,31.4746,16.8812,24.4041,1.5275,30.9847,53.2671,2.3206,0.0,6.002962289619847
1979-04-07,24.9098,33.3112,19.4868,26.4163,1.693,34.709,52.6451,2.3623,0.0,6.395195785639337
1979-04-08,25.0875,35.6422,19.715,27.96,1.7514,36.856,50.4034,3.5162,0.0,7.775674079174531
1979-04-09,25.6234,36.6547,19.9784,28.3982,1.4385,34.1127,41.4498,2.9311,0.0,7.958757458470345
1979-04-10,24.1034,37.9974,20.453,29.3685,1.3373,33.9337,35.6293,1.8878,0.0,6.884922996392472
1979-04-11,24.2168,37.7881,21.7279,29.9444,1.3421,34.5762,34.6997,1.7769,0.0,6.767424960236198
1979-04-12,25.1213,37.6522,21.8093,29.7829,1.3847,34.9131,36.2346,1.7432,0.0,6.8061014505742845
1979-04-13,25.0631,38.585,21.8914,30.0819,1.3005,34.213,32.5208,2.1456,0.0,7.533782112054868
1979-04-14,23.1629,36.7185,21.0695,27.5852,1.4529,33.4411,40.9832,2.9101,0.0,7.772651367995899
1979-04-15,18.1317,31.5635,19.7428,25.8597,1.6094,33.3167,50.1369,2.2261,0.0,5.354720913624187
1979-04-16,22.6372,32.4311,18.8448,24.9338,1.7718,33.9167,59.4676,1.9119,1.61646624,5.583074074604192
1979-04-17,25.6205,33.4665,19.2965,26.8599,1.5997,34.2475,48.137,1.4808,0.0,5.888242082830611
1979-04-18,25.7776,37.0564,21.374,30.3047,1.5126,36.8748,37.4293,2.9025,0.0,8.118888826176702
1979-04-19,25.7108,37.7153,21.3074,30.2143,1.0343,30.7384,26.0107,2.8055,0.0,8.57320072577727
1979-04-20,27.1824,36.2718,21.1916,29.019,0.813,25.8649,22.768,3.0164,0.0,8.919220753015594
1979-04-21,27.2423,36.6753,21.3361,29.083,0.8492,26.5851,22.9115,4.3327,0.0,10.601455408638818
1979-04-22,27.259,37.989,20.7704,29.0217,0.9667,28.5012,26.1592,3.6086,0.0,9.890275518373588
1979-04-23,27.137,39.8812,21.5719,30.3229,1.016,30.5684,26.3505,3.009,0.0,9.483507116026457
1979-04-24,27.2144,40.7142,22.3519,31.8647,1.1187,33.6237,26.3669,2.327,0.0,8.589180030942671
1979-04-25,26.9757,40.9974,23.5034,32.2233,1.14,34.2831,26.1015,1.925,0.0,7.9838220144118095
1979-04-26,26.7174,40.9253,24.2496,32.8058,1.2874,36.8156,27.8136,2.1674,0.0,8.315463437466775
1979-04-27,26.7283,42.4705,24.4831,33.2037,1.395,38.5205,30.572,2.2133,0.0,8.601044087910621
1979-04-28,26.2585,41.2929,24.7398,33.4555,1.3885,38.7011,28.8182,2.4883,0.0,8.791330864737995
1979-04-29,26.4962,39.828,25.1015,32.7274,1.3381,37.3597,29.1189,3.218,0.0,9.619356404233457
1979-04-30,26.9682,40.4127,25.2494,32.4534,1.1425,34.5507,24.0925,2.5757,0.0,9.022224590682193
1979-05-01,29.1006,38.4653,21.9549,31.315,0.9229,30.0723,20.4128,3.1514,0.0,9.746396780290945
1979-05-02,29.1772,36.6753,21.0546,29.8946,0.898,28.2407,21.7527,3.262,0.0,9.521032956886437
1979-05-03,29.0616,37.8128,20.6527,29.6902,0.8398,27.0174,21.0646,2.8189,0.0,9.187100312683176
1979-05-04,28.8562,38.1802,20.3817,29.993,0.9707,29.5334,24.1555,2.5874,0.0,8.819723852876923
1979-05-05,28.2012,38.7683,21.6739,30.653,0.9424,29.7357,22.9922,3.7193,0.0,10.473813366765238
1979-05-06,28.0671,39.7896,22.0999,31.4825,1.0801,32.6867,24.8429,1.9335,0.0,8.028382177323381
1979-05-07,28.7058,40.4802,22.245,31.4987,1.1826,34.1352,27.0086,1.9441,0.0,8.198228760678724
1979-05-08,26.3032,40.9865,24.0419,33.2817,1.2751,37.1436,26.2638,2.3395,0.0,8.6235272100457
1979-05-09,22.697,37.2518,24.2778,31.3269,1.6117,38.9619,36.151,2.6202,0.0,7.691026240307815
1979-05-10,27.5166,39.6925,24.9146,32.4752,1.4571,38.4864,30.9523,3.8385,0.0,10.401126810641074
1979-05-11,28.6426,40.2031,24.7348,32.658,1.2818,36.5952,27.2102,3.9564,0.0,10.989523529834303
1979-05-12,26.516,41.0096,25.8303,33.4148,1.3604,38.3272,26.9944,2.2797,0.0,8.604935887029393
1979-05-13,23.7775,40.9409,28.2422,34.0375,1.4937,40.4922,28.0812,3.3241,0.0,9.79402769647441
1979-05-14,16.4339,35.9026,21.9714,30.335,2.2014,43.149,53.1173,4.4081,2.489999616,7.0432869090293595
1979-05-15,12.3571,29.1337,20.6375,24.8026,2.4303,39.0101,77.4612,3.3634,0.0,3.6297860314640396
1979-05-16,27.5324,33.9509,20.9934,27.6165,1.8739,37.6134,51.717,4.2809,0.0,8.246974794596577
1979-05-17,29.6317,35.8378,22.5167,29.1378,1.3245,33.5447,34.4509,4.6866,0.0,10.466159859989244
1979-05-18,29.0654,39.0201,23.8334,31.4862,1.477,37.6967,32.4071,4.4626,0.0,10.996585165428547
1979-05-19,27.5104,40.4186,24.4673,32.1732,1.5903,39.6114,34.9071,3.9971,0.0,10.609520353598787
1979-05-20,26.5601,39.5397,21.7669,30.4783,1.8245,40.1378,44.3951,3.0511,0.0,8.787846636161982
1979-05-21,27.3659,36.5493,22.0331,29.5677,1.8063,39.0288,44.4773,1.8545,0.0,7.129596471702765
1979-05-22,25.4131,32.8981,20.6767,26.6995,1.8581,36.5227,53.961,1.8859,0.0,6.217570913227081
1979-05-23,27.2331,34.0338,20.2039,27.603,1.5459,34.4578,43.2116,2.2378,0.0,7.142467636310594
1979-05-24,27.5481,36.7689,21.0508,29.7576,1.511,36.2965,37.3578,1.7737,0.0,7.203258075684994
1979-05-25,25.1918,37.1392,23.262,29.3564,1.6614,37.4318,42.0805,2.1052,0.0,7.361375394015126
1979-05-26,22.9979,34.7419,21.663,28.0895,1.7583,37.0546,47.6308,1.894,0.0,6.320986601072546
1979-05-27,24.1743,35.6193,21.6996,29.3994,1.3869,34.5481,35.5188,2.1291,0.0,7.132359956997588
1979-05-28,27.6288,36.7551,21.5267,29.2643,1.2376,32.5964,31.8618,3.3777,0.0,9.287107751217315
1979-05-29,29.0528,37.1104,22.2883,29.8261,0.9204,28.5498,23.0693,4.5499,0.0,11.290097335982614
1979-05-30,29.2331,37.594,22.7228,30.4117,1.0112,30.5843,24.2658,4.6594,0.0,11.45627400340745
1979-05-31,28.2418,38.0684,24.0201,31.5742,1.2393,34.957,27.2879,3.7789,0.0,10.28669638793107
1979-06-01,23.6291,36.8415,24.1875,30.7078,1.3145,35.0204,30.6595,2.5378,0.0,7.960850542949858
1979-06-02,27.0749,38.3238,24.3098,31.6704,1.3384,36.2885,29.3121,4.6058,0.0,11.01447268848888
