************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-01-17 09:45:34
Simulation start date: 2018-06-01
Simulation end date: 2018-09-29
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2018 DSR -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2018-152  2018-06-01    2018  152  Fri  0     9.974   1.496   0.000   0.000   0.000   0.340   0.000   0.050   0.200   0.000   0.150   0.150   1.190   0.150   0.000   0.000   0.000   1.000   1.000   0.000   8.000  83.856   0.000   0.000   0.000   8.000  24.548  17.368   5.908  71.916  30.000  17.368  24.548   0.000   0.000   0.000   0.000   0.516   0.000   8.000
2018-153  2018-06-02    2018  153  Sat  1     9.027  10.698  10.698   1.354   9.344   0.100   1.000   0.050   0.205   0.000   0.150   0.150   1.185   1.185   1.185   1.035   1.000   1.000   1.000   9.344   0.000   0.000   0.000   0.000   0.000   8.000  25.202  17.831   1.783  53.217  10.184  17.831  25.202   0.000   0.000   0.000   0.000   0.416   0.000   8.000
2018-154  2018-06-03    2018  154  Sun  2     8.299   9.726   9.726   1.245   8.481   0.100   1.000   0.050   0.211   0.000   0.150   0.150   1.172   1.172   1.172   1.022   1.000   1.000   1.000  17.826   0.000   0.000   0.000   0.000   0.000   8.000  25.857  18.295   1.829  35.491   0.000   9.634  25.857   8.660   0.000   0.000   0.473   0.325   0.000   8.000
2018-155  2018-06-04    2018  155  Mon  3     9.507   3.645   3.645   1.426   2.219   0.254   1.000   0.050   0.216   0.000   0.150   0.150   1.182   0.383   0.383   0.233   0.226   1.000   1.000  20.044   0.000   0.000   0.000   0.000   0.000   0.000  26.511  18.758   4.768  23.846   0.000   0.000  23.846  18.758   2.665   0.101   1.000   0.267   0.000   8.000
2018-156  2018-06-05    2018  156  Tue  4     9.400   1.475   1.475   1.410   0.065   0.341   1.000   0.050   0.221   0.000   0.150   0.150   1.186   0.157   0.157   0.007   0.007   1.000   1.000   0.000   8.000  51.423   0.000   0.000   0.000   8.000  27.166  19.221   6.554  73.794  27.407  19.221  27.166   0.000   0.000   0.000   0.000   0.490   0.000   8.000
2018-157  2018-06-06    2018  157  Wed  5     5.352   6.237   6.237   0.803   5.435   0.151   1.000   0.050   0.227   0.000   0.150   0.150   1.165   1.165   1.165   1.015   1.000   1.000   1.000   0.000   8.000   0.000   0.000  18.694   0.000   8.000  27.821  19.684   2.962  78.250  30.745  19.684  27.821   0.000   0.000   0.000   0.000   0.502   0.000   8.000
2018-158  2018-06-07    2018  158  Thu  6     7.852   9.148   9.148   1.178   7.970   0.100   1.000   0.050   0.232   0.000   0.150   0.150   1.165   1.165   1.165   1.015   1.000   1.000   1.000   7.970   0.000   0.000   0.000   0.000   0.000   8.000  28.475  20.147   2.015  61.102  12.480  20.147  28.475   0.000   0.000   0.000   0.000   0.420   0.000   8.000
2018-159  2018-06-08    2018  159  Fri  7     7.830   9.309   9.309   1.174   8.135   0.100   1.000   0.050   0.237   0.000   0.150   0.150   1.189   1.189   1.189   1.039   1.000   1.000   1.000  16.105   0.000   0.000   0.000   0.000   0.000   8.000  29.130  20.610   2.061  43.793   0.000  14.663  29.130   5.947   0.000   0.000   0.289   0.341   0.000   8.000
2018-160  2018-06-09    2018  160  Sat  8     5.552   3.083   3.083   0.833   2.250   0.277   1.000   0.050   0.243   0.000   0.150   0.150   1.172   0.555   0.555   0.405   0.396   1.000   1.000   1.109   8.000   0.000   0.000  25.245   0.000   8.000  29.784  21.073   5.831  57.955   7.098  21.073  29.784   0.000   0.000   0.000   0.000   0.396   0.000   8.000
2018-161  2018-06-10    2018  161  Sun  9     5.121   5.879   5.879   0.768   5.111   0.165   1.000   0.050   0.248   0.000   0.150   0.150   1.148   1.148   1.148   0.998   1.000   1.000   1.000   6.221   0.000   0.000   0.000   0.000   0.000   8.000  30.439  21.537   3.550  44.076   0.000  13.637  30.439   7.899   0.000   0.000   0.367   0.334   0.000   8.000
2018-162  2018-06-11    2018  162  Mon  10    8.570  10.031  10.031   1.286   8.746   0.100   1.000   0.050   0.253   0.000   0.150   0.150   1.170   1.170   1.170   1.020   1.000   1.000   1.000  14.966   0.000   0.000   0.000   0.000   0.000   0.000  31.094  22.000   2.200  26.045   0.000   0.000  26.045  22.000   5.049   0.162   1.000   0.260   0.000   8.000
2018-163  2018-06-12    2018  163  Tue  11    8.534   5.684   5.684   1.280   4.404   0.173   1.000   0.050   0.259   0.000   0.150   0.150   1.164   0.666   0.666   0.516   0.509   1.000   1.000   0.000   8.000  57.049   0.000   0.000   0.000   8.000  31.748  22.463   3.878  77.409  23.198  22.463  31.748   0.000   0.000   0.000   0.000   0.456   0.000   8.000
2018-164  2018-06-13    2018  164  Wed  12    9.901  11.650  11.650   1.485  10.165   0.100   1.000   0.050   0.264   0.000   0.150   0.150   1.177   1.177   1.177   1.027   1.000   1.000   1.000  10.165   0.000   0.000   0.000   0.000   0.000   8.000  32.403  22.926   2.293  57.759   2.430  22.926  32.403   0.000   0.000   0.000   0.000   0.376   0.000   8.000
2018-165  2018-06-14    2018  165  Thu  13    9.817  11.426  11.426   1.473   9.953   0.100   1.000   0.050   0.269   0.000   0.150   0.150   1.181   1.164   1.164   1.014   0.984   1.000   1.000  20.112   0.000   0.000   0.000   0.000   0.000   5.276  33.057  23.389   2.339  38.333   0.000   5.276  33.057  18.113   0.000   0.000   0.774   0.299   0.000   8.000
2018-166  2018-06-15    2018  166  Fri  14    8.311   1.247   1.247   1.247   0.000   0.350   1.000   0.050   0.275   0.000   0.150   0.150   1.172   0.150   0.150   0.000   0.000   1.000   1.000   0.000   8.000  48.113   0.000   0.000   0.000   8.000  33.712  23.852   8.351  79.924  22.360  23.852  33.712   0.000   0.000   0.000   0.000   0.448   0.000   8.000
2018-167  2018-06-16    2018  167  Sat  15    5.994   6.967   6.967   0.899   6.068   0.121   1.000   0.050   0.280   0.000   0.150   0.150   1.162   1.162   1.162   1.012   1.000   1.000   1.000   6.068   0.000   0.000   0.000   0.000   0.000   8.000  34.367  24.315   2.950  64.957   6.275  24.315  34.367   0.000   0.000   0.000   0.000   0.389   0.000   8.000
2018-168  2018-06-17    2018  168  Sun  16    5.528   6.398   6.398   0.829   5.569   0.144   1.000   0.050   0.285   0.000   0.150   0.150   1.157   1.157   1.157   1.007   1.000   1.000   1.000  11.637   0.000   0.000   0.000   0.000   0.000   8.000  35.021  24.779   3.570  50.559   0.000  15.538  35.021   9.241   0.000   0.000   0.373   0.334   0.000   8.000
2018-169  2018-06-18    2018  169  Mon  17    6.146   6.133   6.133   0.922   5.211   0.155   1.000   0.050   0.291   0.000   0.150   0.150   1.162   0.998   0.998   0.848   0.838   1.000   1.000  16.848   0.000   0.000   0.000   0.000   0.000   0.750  35.676  25.242   3.904  36.426   0.000   0.750  35.676  24.492   0.000   0.000   0.970   0.282   0.000   8.000
2018-170  2018-06-19    2018  170  Tue  18    7.345   3.492   3.492   1.102   2.391   0.260   1.000   0.050   0.296   0.000   0.150   0.150   1.158   0.475   0.475   0.325   0.323   1.000   1.000   0.000   8.000  54.492   0.000   0.000   0.000   8.000  36.330  25.705   6.691  86.675  24.640  25.705  36.330   0.000   0.000   0.000   0.000   0.450   0.000   8.000
2018-171  2018-06-20    2018  171  Wed  19    7.453   8.605   8.605   1.118   7.487   0.100   1.000   0.050   0.301   0.000   0.150   0.150   1.154   1.154   1.154   1.004   1.000   1.000   1.000   7.487   0.000   0.000   0.000   0.000   0.000   8.000  36.985  26.168   2.617  70.070   6.917  26.168  36.985   0.000   0.000   0.000   0.000   0.389   0.000   8.000
