************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-01-17 10:08:37
Simulation start date: 2018-06-01
Simulation end date: 2018-09-29
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2018 TPR -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2018-152  2018-06-01    2018  152  Fri  0     9.970   1.496   1.496   1.496   0.000   0.600   1.000   0.050   0.400   0.000   0.150   0.150   1.190   0.150   0.150   0.000   0.000   1.000   1.000  18.020   0.000   0.000   0.000   0.000   0.000   8.504  49.240  54.080  32.448 180.261  76.941  54.080  49.240   0.000   0.000   0.000   0.000   0.565   1.000   8.504
2018-153  2018-06-02    2018  153  Sat  1     9.030   1.354   1.354   1.354   0.000   0.600   1.000   0.050   0.400   0.000   0.150   0.150   1.185   0.150   0.150   0.000   0.000   1.000   1.000  18.020   0.000   0.000   0.000   0.000   0.000   8.504  49.240  54.080  32.448 170.403  67.083  54.080  49.240   0.000   0.000   0.000   0.000   0.540   1.000   8.504
2018-154  2018-06-03    2018  154  Sun  2     8.300   1.245   1.245   1.245   0.000   0.600   1.000   0.050   0.400   0.000   0.150   0.150   1.172   0.150   0.150   0.000   0.000   1.000   1.000  18.020   0.000   0.000   0.000   0.000   0.000   8.504  49.240  54.080  32.448 160.654  57.334  54.080  49.240   0.000   0.000   0.000   0.000   0.516   1.000   8.504
2018-155  2018-06-04    2018  155  Mon  3     9.510   1.426   1.426   1.426   0.000   0.600   1.000   0.050   0.400   0.000   0.150   0.150   1.182   0.150   0.150   0.000   0.000   1.000   1.000  18.020   0.000   0.000   0.000   0.000   0.000   8.504  49.240  54.080  32.448 150.724  47.404  54.080  49.240   0.000   0.000   0.000   0.000   0.491   1.000   8.504
2018-156  2018-06-05    2018  156  Tue  4     9.400   1.410   1.410   1.410   0.000   0.600   1.000   0.050   0.400   0.000   0.150   0.150   1.186   0.150   0.150   0.000   0.000   1.000   1.000  18.020   0.000   0.000   0.000   0.000   0.000   8.504  49.240  54.080  32.448 140.810  37.490  54.080  49.240   0.000   0.000   0.000   0.000   0.466   1.000   8.504
2018-157  2018-06-06    2018  157  Wed  5     5.350   0.802   0.802   0.802   0.000   0.600   1.000   0.050   0.400   0.000   0.150   0.150   1.165   0.150   0.150   0.000   0.000   1.000   1.000   0.000   0.674   0.000   0.000  18.694   0.000   8.504  49.240  54.080  32.448 150.198  46.878  54.080  49.240   0.000   0.000   0.000   0.000   0.490   1.000   8.504
2018-158  2018-06-07    2018  158  Thu  6     7.850   9.145   9.145   1.177   7.968   0.600   1.000   0.050   0.400   0.000   0.150   0.150   1.165   1.165   1.165   1.015   1.000   1.000   1.000   7.968   0.000   0.000   0.000   0.000   0.000   8.504  49.240  54.080  32.448 132.549  29.229  54.080  49.240   0.000   0.000   0.000   0.000   0.446   1.000   8.504
2018-159  2018-06-08    2018  159  Fri  7     7.830   9.309   9.309   1.174   8.135   0.600   1.000   0.050   0.400   0.000   0.150   0.150   1.189   1.189   1.189   1.039   1.000   1.000   1.000  16.102   0.000   0.000   0.000   0.000   0.000   8.504  49.240  54.080  32.448 114.736  11.416  54.080  49.240   0.000   0.000   0.000   0.000   0.401   1.000   8.504
2018-160  2018-06-09    2018  160  Sat  8     5.550   2.189   2.189   0.832   1.357   0.600   1.000   0.050   0.400   0.000   0.150   0.150   1.172   0.394   0.394   0.244   0.239   1.000   1.000   0.718   8.504   0.000   0.000  25.245   0.000   8.504  49.240  54.080  32.448 129.288  25.968  54.080  49.240   0.000   0.000   0.000   0.000   0.437   1.000   8.504
2018-161  2018-06-10    2018  161  Sun  9     5.120   5.878   5.878   0.768   5.110   0.600   1.000   0.050   0.400   0.000   0.150   0.150   1.148   1.148   1.148   0.998   1.000   1.000   1.000   5.828   0.000   0.000   0.000   0.000   0.000   8.504  49.240  54.080  32.448 114.906  11.586  54.080  49.240   0.000   0.000   0.000   0.000   0.401   1.000   8.504
2018-162  2018-06-11    2018  162  Mon  10    8.570  10.031  10.031   1.286   8.746   0.600   1.000   0.050   0.400   0.000   0.150   0.150   1.170   1.170   1.170   1.020   1.000   1.000   1.000  14.573   0.000   0.000   0.000   0.000   0.000   8.504  49.240  54.080  32.448  96.372   0.000  47.132  49.240   6.948   0.000   0.000   0.128   0.355   1.000   8.504
