************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2024-12-09 18:13:17
Simulation start date: 2018-05-15
Simulation end date: 2018-09-12
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2018 DSR -- CSSRI
************************************************************************
Year-DOY  Year  DOY  DOW        Date    ETref  tKcb   Kcb     h Kcmax    fc    fw   few      De    Kr    Ke      E     DPe    Kc    ETc     TAW TAWrmax    TAWb    Zr     p     RAW    Ks Kcadj ETcadj      T      DP    Dinc      Dr     fDr   Drmax  fDrmax      Db     fDb   Irrig IrrLoss    Rain  Runoff  Year  DOY  DOW        Date   Day
2018-135  2018  135  Tue  2018-05-15    7.390 0.970 0.970 0.050 1.161 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  7.168  24.612 -99.999 -99.999 0.200 0.513  12.632 0.000 0.000  0.000  0.000   0.000 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999  37.466   0.000   0.000   0.000  2018  135  Tue  2018-05-15     0
2018-136  2018  136  Wed  2018-05-16    9.470 0.970 0.970 0.050 1.171 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  9.186  25.268 -99.999 -99.999 0.205 0.433  10.930 1.000 0.970  9.186  9.186   0.000 -99.999   9.186   0.364 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  136  Wed  2018-05-16     1
2018-137  2018  137  Thu  2018-05-17    8.810 0.970 0.970 0.050 1.165 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  8.546  25.924 -99.999 -99.999 0.211 0.458  11.878 1.000 0.970  8.546  8.546   0.000 -99.999  17.732   0.684 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  137  Thu  2018-05-17     2
2018-138  2018  138  Fri  2018-05-18    7.750 0.970 0.970 0.050 1.162 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  7.518  26.581 -99.999 -99.999 0.216 0.499  13.272 0.665 0.645  4.998  4.998   0.000 -99.999  22.730   0.855 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  138  Fri  2018-05-18     3
2018-139  2018  139  Sat  2018-05-19    8.790 0.970 0.970 0.050 1.166 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  8.526  27.237 -99.999 -99.999 0.221 0.459  12.500 0.306 0.297  2.608  2.608   0.000 -99.999   2.608   0.096 -99.999 -99.999 -99.999 -99.999  22.730   0.000   0.000   0.000  2018  139  Sat  2018-05-19     4
2018-140  2018  140  Sun  2018-05-20   10.740 0.970 0.970 0.050 1.176 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970 10.418  27.893 -99.999 -99.999 0.227 0.383  10.691 1.000 0.970 10.418 10.418   0.000 -99.999  13.025   0.467 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  140  Sun  2018-05-20     5
2018-141  2018  141  Mon  2018-05-21   12.170 0.970 0.970 0.050 1.185 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970 11.805  28.550 -99.999 -99.999 0.232 0.328   9.359 0.809 0.785  9.549  9.549   0.000 -99.999  22.575   0.791 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  141  Mon  2018-05-21     6
2018-142  2018  142  Tue  2018-05-22   11.720 0.970 0.970 0.050 1.178 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970 11.368  29.206 -99.999 -99.999 0.237 0.345  10.084 0.347 0.336  3.942  3.942   0.000 -99.999  26.517   0.908 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  142  Tue  2018-05-22     7
2018-143  2018  143  Wed  2018-05-23    9.820 0.970 0.970 0.050 1.168 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  9.525  29.862 -99.999 -99.999 0.243 0.419  12.512 0.193 0.187  1.836  1.836   0.000 -99.999   1.836   0.061 -99.999 -99.999 -99.999 -99.999  26.517   0.000   0.000   0.000  2018  143  Wed  2018-05-23     8
2018-144  2018  144  Thu  2018-05-24   10.250 0.970 0.970 0.050 1.177 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  9.942  30.519 -99.999 -99.999 0.248 0.402  12.278 1.000 0.970  9.942  9.942   0.000 -99.999  11.779   0.386 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  144  Thu  2018-05-24     9
2018-145  2018  145  Fri  2018-05-25   10.790 0.970 0.970 0.050 1.180 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970 10.466  31.175 -99.999 -99.999 0.253 0.381  11.888 1.000 0.970 10.466 10.466   0.000 -99.999  22.245   0.714 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  145  Fri  2018-05-25    10
2018-146  2018  146  Sat  2018-05-26    9.540 0.970 0.970 0.050 1.162 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  9.254  31.831 -99.999 -99.999 0.259 0.430  13.683 0.528 0.512  4.888  4.888   0.000 -99.999  27.133   0.852 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  146  Sat  2018-05-26    11
2018-147  2018  147  Sun  2018-05-27    8.500 0.970 0.970 0.050 1.158 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  8.245  32.487 -99.999 -99.999 0.264 0.470  15.276 0.311 0.302  2.565  2.565   0.000 -99.999   2.565   0.079 -99.999 -99.999 -99.999 -99.999  27.133   0.000   0.000   0.000  2018  147  Sun  2018-05-27    12
2018-148  2018  148  Mon  2018-05-28    8.550 0.970 0.970 0.050 1.158 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  8.293  33.144 -99.999 -99.999 0.269 0.468  15.520 1.000 0.970  8.293  8.293   0.000 -99.999  10.858   0.328 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  148  Mon  2018-05-28    13
2018-149  2018  149  Tue  2018-05-29   10.730 0.970 0.970 0.050 1.182 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970 10.408  33.800 -99.999 -99.999 0.275 0.384  12.968 1.000 0.970 10.408 10.408   0.000 -99.999  21.267   0.629 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  149  Tue  2018-05-29    14
2018-150  2018  150  Wed  2018-05-30    9.150 0.970 0.970 0.050 1.182 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  8.876  34.456 -99.999 -99.999 0.280 0.445  15.332 0.690 0.669  6.121  6.121   0.000 -99.999  27.388   0.795 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  150  Wed  2018-05-30    15
2018-151  2018  151  Thu  2018-05-31    9.020 0.970 0.970 0.050 1.176 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  8.749  35.113 -99.999 -99.999 0.285 0.450  15.802 0.400 0.388  3.500  3.500   0.000 -99.999  30.888   0.880 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  151  Thu  2018-05-31    16
2018-152  2018  152  Fri  2018-06-01    9.970 0.970 0.970 0.050 1.190 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  9.671  35.769 -99.999 -99.999 0.291 0.413  14.778 0.233 0.226  2.249  2.249   0.000 -99.999   2.249   0.063 -99.999 -99.999 -99.999 -99.999  30.888   0.000   0.000   0.000  2018  152  Fri  2018-06-01    17
2018-153  2018  153  Sat  2018-06-02    9.030 0.970 0.970 0.050 1.185 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  8.759  36.425 -99.999 -99.999 0.296 0.450  16.378 1.000 0.970  8.759  8.759   0.000 -99.999  11.008   0.302 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  153  Sat  2018-06-02    18
2018-154  2018  154  Sun  2018-06-03    8.300 0.970 0.970 0.050 1.172 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  8.051  37.082 -99.999 -99.999 0.301 0.478  17.724 1.000 0.970  8.051  8.051   0.000 -99.999  19.059   0.514 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  154  Sun  2018-06-03    19
2018-155  2018  155  Mon  2018-06-04    9.510 0.970 0.970 0.050 1.182 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  9.225  37.738 -99.999 -99.999 0.307 0.431  16.266 0.870 0.844  8.025  8.025   0.000 -99.999  27.084   0.718 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  155  Mon  2018-06-04    20
2018-156  2018  156  Tue  2018-06-05    9.400 0.970 0.970 0.050 1.186 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  9.118  38.394 -99.999 -99.999 0.312 0.435  16.712 0.522 0.506  4.757  4.757   0.000 -99.999  31.840   0.829 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  156  Tue  2018-06-05    21
2018-157  2018  157  Wed  2018-06-06    5.350 0.970 0.970 0.050 1.165 0.000 1.000 1.000  12.414 0.000 0.000  0.000  44.924 0.970  5.189  39.051 -99.999 -99.999 0.317 0.592  23.134 0.453 0.439  2.351  2.351  16.339 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999  31.840   0.000  18.690   0.000  2018  157  Wed  2018-06-06    22
2018-158  2018  158  Thu  2018-06-07    7.850 0.970 0.970 0.050 1.165 0.000 1.000 1.000  18.019 0.699 0.136  1.070  44.924 1.106  8.684  39.707 -99.999 -99.999 0.323 0.453  17.972 1.000 1.106  8.684  7.614   0.000 -99.999   8.684   0.219 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  158  Thu  2018-06-07    23
2018-159  2018  159  Fri  2018-06-08    7.830 0.970 0.970 0.050 1.189 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  7.595  40.363 -99.999 -99.999 0.328 0.496  20.028 1.000 0.970  7.595  7.595   0.000 -99.999  16.280   0.403 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  159  Fri  2018-06-08    24
