************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2024-12-09 12:42:30
Simulation start date: 2018-01-01
Simulation end date: 2018-05-11
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2018 Wheat -- CSSRI
************************************************************************
Year-DOY  Year  DOY  DOW        Date   ETref  tKcb   Kcb     h Kcmax    fc    fw   few      De    Kr    Ke      E     DPe    Kc    ETc     TAW TAWrmax    TAWb    Zr     p     RAW    Ks Kcadj ETcadj      T      DP    Dinc      Dr     fDr   Drmax  fDrmax      Db     fDb   Irrig IrrLoss    Rain  Runoff  Year  DOY  DOW        Date
2018-001  2018  001  Mon  2018-01-01    1.610 0.300 0.300 0.050 1.149 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.483  36.960 -99.999 -99.999 0.300 0.731  27.006 1.000 0.300  0.483  0.483  39.987 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  001  Mon  2018-01-01  
2018-002  2018  002  Tue  2018-01-02    1.830 0.300 0.300 0.050 1.155 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.549  36.960 -99.999 -99.999 0.300 0.728  26.908 1.000 0.300  0.549  0.549   0.000 -99.999   0.549   0.015 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  002  Tue  2018-01-02  
2018-003  2018  003  Wed  2018-01-03    1.930 0.300 0.300 0.050 1.161 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.579  36.960 -99.999 -99.999 0.300 0.727  26.864 1.000 0.300  0.579  0.579   0.000 -99.999   1.128   0.031 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  003  Wed  2018-01-03  
2018-004  2018  004  Thu  2018-01-04    1.720 0.300 0.300 0.050 1.157 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.516  36.960 -99.999 -99.999 0.300 0.729  26.957 1.000 0.300  0.516  0.516   0.000 -99.999   1.644   0.044 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  004  Thu  2018-01-04  
2018-005  2018  005  Fri  2018-01-05    1.910 0.300 0.300 0.050 1.161 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.573  36.960 -99.999 -99.999 0.300 0.727  26.873 1.000 0.300  0.573  0.573   0.000 -99.999   2.217   0.060 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  005  Fri  2018-01-05  
2018-006  2018  006  Sat  2018-01-06    2.500 0.300 0.300 0.050 1.175 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.750  36.960 -99.999 -99.999 0.300 0.720  26.611 1.000 0.300  0.750  0.750   0.000 -99.999   2.967   0.080 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  006  Sat  2018-01-06  
2018-007  2018  007  Sun  2018-01-07    3.480 0.300 0.300 0.050 1.195 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  1.044  36.960 -99.999 -99.999 0.300 0.708  26.177 1.000 0.300  1.044  1.044   0.000 -99.999   4.011   0.109 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  007  Sun  2018-01-07  
2018-008  2018  008  Mon  2018-01-08    3.060 0.300 0.300 0.050 1.192 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.918  36.960 -99.999 -99.999 0.300 0.713  26.363 1.000 0.300  0.918  0.918   0.000 -99.999   4.929   0.133 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  008  Mon  2018-01-08  
2018-009  2018  009  Tue  2018-01-09    3.050 0.300 0.300 0.050 1.187 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.915  36.960 -99.999 -99.999 0.300 0.713  26.367 1.000 0.300  0.915  0.915   0.000 -99.999   5.844   0.158 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  009  Tue  2018-01-09  
2018-010  2018  010  Wed  2018-01-10    4.080 0.300 0.300 0.050 1.202 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  1.224  36.960 -99.999 -99.999 0.300 0.701  25.910 1.000 0.300  1.224  1.224   0.000 -99.999   7.068   0.191 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  010  Wed  2018-01-10  
2018-011  2018  011  Thu  2018-01-11    4.040 0.300 0.300 0.050 1.193 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  1.212  36.960 -99.999 -99.999 0.300 0.702  25.928 1.000 0.300  1.212  1.212   0.000 -99.999   8.280   0.224 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  011  Thu  2018-01-11  
2018-012  2018  012  Fri  2018-01-12    3.560 0.300 0.300 0.050 1.187 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  1.068  36.960 -99.999 -99.999 0.300 0.707  26.141 1.000 0.300  1.068  1.068   0.000 -99.999   9.348   0.253 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  012  Fri  2018-01-12  
2018-013  2018  013  Sat  2018-01-13    3.190 0.300 0.300 0.050 1.182 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.957  36.960 -99.999 -99.999 0.300 0.712  26.305 1.000 0.300  0.957  0.957   0.000 -99.999  10.305   0.279 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  013  Sat  2018-01-13  
2018-014  2018  014  Sun  2018-01-14    3.800 0.300 0.300 0.050 1.190 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  1.140  36.960 -99.999 -99.999 0.300 0.704  26.035 1.000 0.300  1.140  1.140   0.000 -99.999  11.445   0.310 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  014  Sun  2018-01-14  
2018-015  2018  015  Mon  2018-01-15    3.880 0.300 0.300 0.050 1.192 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  1.164  36.960 -99.999 -99.999 0.300 0.703  25.999 1.000 0.300  1.164  1.164   0.000 -99.999  12.609   0.341 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  015  Mon  2018-01-15  
2018-016  2018  016  Tue  2018-01-16    3.850 0.300 0.300 0.050 1.188 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  1.155  36.960 -99.999 -99.999 0.300 0.704  26.012 1.000 0.300  1.155  1.155   0.000 -99.999  13.764   0.372 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  016  Tue  2018-01-16  
