************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 09:27:36
Simulation start date: 2017-09-11
Simulation end date: 2017-10-01
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2017 DSR -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2017-254  2017-09-11    2017  254  Mon  0     5.471   0.000   0.000   0.000   0.000   0.400   0.740   1.000   1.000   0.000   0.000   0.000   1.104   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153  86.008 144.816   0.000   0.000   0.000   0.000  86.008 122.153   1.000   1.000   0.154   0.220   0.000
2017-255  2017-09-12    2017  255  Tue  1     5.639   0.000   0.000   0.000   0.000   0.400   0.000   1.000   1.000   0.000   0.000   0.000   1.104   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153  86.008 144.816   0.000   0.000   0.000   0.000  86.008 122.153   1.000   1.000   0.154   0.220   0.000
2017-256  2017-09-13    2017  256  Wed  2     5.289   0.000   0.000   0.000   0.000   0.400   0.000   1.000   1.000   0.000   0.000   0.000   1.088   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153  86.008 144.816   0.000   0.000   0.000   0.000  86.008 122.153   1.000   1.000   0.154   0.220   0.000
2017-257  2017-09-14    2017  257  Thu  3     5.118   0.000   0.000   0.000   0.000   0.400   0.000   1.000   1.000   0.000   0.000   0.000   1.088   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153  86.008 144.816   0.000   0.000   0.000   0.000  86.008 122.153   1.000   1.000   0.154   0.220   0.000
2017-258  2017-09-15    2017  258  Fri  4     5.451   0.000   0.000   0.000   0.000   0.400   0.000   1.000   1.000   0.000   0.000   0.000   1.094   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153  86.008 144.816   0.000   0.000   0.000   0.000  86.008 122.153   1.000   1.000   0.154   0.220   0.000
2017-259  2017-09-16    2017  259  Sat  5     4.257   0.000   0.000   0.000   0.000   0.400   0.000   1.000   1.000   0.000   0.000   0.000   1.077   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153  86.008 144.816   0.000   0.000   0.000   0.000  86.008 122.153   1.000   1.000   0.154   0.220   0.000
2017-260  2017-09-17    2017  260  Sun  6     4.051   0.457   0.000   0.000   0.000   0.382   0.000   1.000   1.000   0.033   0.113   0.113   1.102   0.113   0.000   0.000   0.000   1.000   0.967  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153  86.008 138.197   0.000   0.000   0.000   0.000  86.008 122.153   1.000   1.000   0.154   0.220   0.000
2017-261  2017-09-18    2017  261  Mon  7     5.683   1.278   0.000   0.000   0.000   0.349   0.000   1.000   1.000   0.093   0.225   0.225   1.096   0.225   0.000   0.000   0.000   1.000   0.907  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153  86.008 126.308   0.000   0.000   0.000   0.000  86.008 122.153   1.000   1.000   0.154   0.220   0.000
2017-262  2017-09-19    2017  262  Tue  8     5.019   1.686   0.000   0.000   0.000   0.333   0.000   1.000   1.000   0.171   0.336   0.336   1.089   0.336   0.000   0.000   0.000   1.000   0.829  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153  86.008 120.393   0.000   0.000   0.000   0.000  86.008 122.153   1.000   1.000   0.154   0.220   0.000
2017-263  2017-09-20    2017  263  Wed  9     5.174   2.310   0.000   0.000   0.000   0.308   0.000   1.000   1.000   0.264   0.447   0.447   1.084   0.447   0.000   0.000   0.000   1.000   0.736  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153  86.008 111.357   0.000   0.000   0.000   0.000  86.008 122.153   1.000   1.000   0.154   0.220   0.000
2017-264  2017-09-21    2017  264  Thu  10    5.376   3.021   0.000   0.000   0.000   0.279   0.000   1.000   1.000   0.354   0.562   0.562   1.123   0.562   0.000   0.000   0.000   1.000   0.646  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153  86.008 101.072   0.000   0.000   0.000   0.000  86.008 122.153   1.000   1.000   0.154   0.220   0.000
2017-265  2017-09-22    2017  265  Fri  11    2.884   1.946   0.000   0.000   0.000   0.322   0.000   1.000   1.000   0.478   0.675   0.675   1.103   0.675   0.000   0.000   0.000   1.000   0.522  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153  86.008 116.636   0.000   0.000   0.000   0.000  86.008 122.153   1.000   1.000   0.154   0.220   0.000
2017-266  2017-09-23    2017  266  Sat  12    0.925   0.729   0.000   0.000   0.000   0.371   0.000   1.000   1.000   0.605   0.787   0.787   1.100   0.787   0.000   0.000   0.000   1.000   0.395   0.000   0.000   0.000   0.000  45.203   0.000   0.000 122.153  86.008 134.266  45.203   0.000   0.000  45.203  86.008  76.950   0.630   1.000   0.199   0.389   0.000
2017-267  2017-09-24    2017  267  Sun  13    4.261   4.629   2.800   1.998   0.802   0.215   0.522   1.000   1.000   0.752   0.898   0.898   1.086   1.086   0.657   0.188   1.000   1.000   0.248   3.230   0.000   0.000   0.000   0.000   0.000   0.000 122.153  86.008  77.781  42.404   0.000   0.000  42.404  86.008  79.749   0.653   1.000   0.196   0.379   0.000
2017-268  2017-09-25    2017  268  Mon  14    5.532   6.176   3.328   2.222   1.106   0.153   0.438   1.000   1.000   0.752   0.916   0.916   1.116   1.116   0.602   0.200   1.000   1.000   0.248   7.687   0.000   0.000   0.000   0.000   0.000   0.000 122.153  86.008  55.384  39.075   0.000   0.000  39.075  86.008  83.078   0.680   1.000   0.193   0.366   0.000
2017-269  2017-09-26    2017  269  Tue  15    4.978   5.343   2.834   1.959   0.875   0.186   0.438   1.000   1.000   0.752   0.898   0.898   1.098   1.073   0.569   0.176   0.879   1.000   0.248  11.211   0.000   0.000   0.000   0.000   0.000   0.000 122.153  86.008  67.438  36.241   0.000   0.000  36.241  86.008  85.912   0.703   1.000   0.190   0.356   0.000
2017-270  2017-09-27    2017  270  Wed  16    4.687   4.711   2.383   1.797   0.586   0.212   0.436   1.000   1.000   0.752   0.880   0.880   1.080   1.005   0.508   0.125   0.625   1.000   0.248  13.572   0.000   0.000   0.000   0.000   0.000   0.000 122.153  86.008  76.597  33.858   0.000   0.000  33.858  86.008  88.295   0.723   1.000   0.188   0.347   0.000
