ID,Crop_Type,Year,Season,Planting_Date,Irrig_Crit_Source,Irrig_Crit,ETref,ETc,ETcadj,E,T,DP,K,Rain,Runoff,Irrig,IrrLoss,Gross_Irrig,Num_Irrig,Mean_Irrig,Veff_ini,Veff_end,theta0
4,Rice,1991,120,1991-05-21,madDs,0.47,735.225,779.071,773.385,393.329,380.056,375.69,3.147,365.705,0.0,849.937,0.0,1104.919,35,24.284,0.0,67.167,0.266
4,Fallow,1991,10,1991-09-18,NaN,0.0,61.085,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0,,112.121,112.121,0.266
4,Wheat,1991,125,1991-09-28,mad,0.5,440.396,299.314,299.314,13.349,285.965,13.266,0.001,51.658,0.0,214.259,0.0,278.537,3,71.42,22.424,25.326,0.175
1,Rice,1988,120,1988-05-21,madDs,0.47,699.921,724.32,717.85,378.004,339.846,667.568,5.529,714.73,0.0,715.657,0.0,930.354,29,24.678,0.0,45.749,0.23
1,Fallow,1988,10,1988-09-18,NaN,0.0,36.414,16.784,16.784,16.784,0.0,289.129,8.764,344.086,0.0,0.0,0.0,0.0,0,,76.121,114.293,0.268
1,Wheat,1988,125,1988-09-28,mad,0.5,426.533,286.084,286.084,12.426,273.658,32.318,0.001,73.155,0.0,215.356,0.0,279.962,3,71.785,22.824,43.915,0.19
7,Rice,1994,120,1994-05-21,madDs,0.47,666.39,696.325,691.087,378.145,312.941,661.874,5.471,777.21,0.0,657.728,0.0,855.047,26,25.297,0.0,82.976,0.292
7,Fallow,1994,10,1994-09-18,NaN,0.0,61.487,0.0,0.0,0.0,0.0,15.968,0.068,0.0,0.0,0.0,0.0,0.0,0,,138.121,122.153,0.276
7,Wheat,1994,125,1994-09-28,mad,0.5,423.352,290.613,290.613,15.292,275.321,13.295,0.001,59.455,0.0,220.542,0.0,286.705,3,73.514,24.424,51.14,0.196
5,Rice,1992,120,1992-05-21,madDs,0.47,690.842,734.647,730.033,399.149,330.885,327.34,2.706,314.65,0.0,818.967,0.0,1064.657,34,24.087,0.0,77.103,0.282
5,Fallow,1992,10,1992-09-18,NaN,0.0,56.714,0.0,0.0,0.0,0.0,5.968,0.063,0.0,0.0,0.0,0.0,0.0,0,,128.121,122.153,0.276
5,Wheat,1992,125,1992-09-28,mad,0.5,431.495,289.96,289.96,20.871,269.089,0.646,0.001,33.362,0.0,218.119,0.0,283.554,3,72.706,24.424,35.322,0.183
6,Rice,1993,120,1993-05-21,madDs,0.47,723.635,766.517,761.608,383.502,378.105,458.166,3.789,497.473,0.0,808.715,0.0,1051.329,34,23.786,0.0,87.435,0.3
6,Fallow,1993,10,1993-09-18,NaN,0.0,46.75,0.0,0.0,0.0,0.0,23.968,0.075,0.0,0.0,0.0,0.0,0.0,0,,146.121,122.153,0.276
