************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:22
Simulation start date: 2004-09-18
Simulation end date: 2004-09-28
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2004 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2004-262  2004-09-18    2004  262  Sat  0     4.190   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.083   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2004-263  2004-09-19    2004  263  Sun  1     4.291   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.075   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2004-264  2004-09-20    2004  264  Mon  2     4.541   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.102   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2004-265  2004-09-21    2004  265  Tue  3     4.193   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.102   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2004-266  2004-09-22    2004  266  Wed  4     3.680   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.108   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2004-267  2004-09-23    2004  267  Thu  5     4.587   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.100   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2004-268  2004-09-24    2004  268  Fri  6     5.669   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.112   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2004-269  2004-09-25    2004  269  Sat  7     5.455   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.100   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2004-270  2004-09-26    2004  270  Sun  8     6.275   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.123   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2004-271  2004-09-27    2004  271  Mon  9     6.068   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.119   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2004-272  2004-09-28    2004  272  Tue  10    5.144   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.090   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
