************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:24
Simulation start date: 2013-09-18
Simulation end date: 2013-09-28
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2013 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2013-261  2013-09-18    2013  261  Wed  0     5.203   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.098   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  96.121   0.000   0.000   0.000   0.000  26.032   0.213   0.000   0.250   0.580   0.014
2013-262  2013-09-19    2013  262  Thu  1     4.712   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.079   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  96.121   0.000   0.000   0.000   0.000  26.032   0.213   0.000   0.250   0.580   0.014
2013-263  2013-09-20    2013  263  Fri  2     4.408   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.108   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  96.121   0.000   0.000   0.000   0.000  26.032   0.213   0.000   0.250   0.580   0.014
2013-264  2013-09-21    2013  264  Sat  3     3.174   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.123   0.000   0.000   0.000   0.000   1.000   1.000   0.000   0.014   0.000   0.000  31.569   0.000   5.537 122.153   0.000  97.722 127.690   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.282   0.698   0.082
2013-265  2013-09-22    2013  265  Sun  4     3.560   3.893   3.893   0.000   3.893   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.094   1.094   1.094   1.094   1.000   1.000   1.000   3.893   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722 118.260   0.000   0.000   0.000   0.000   3.893   0.032   0.000   0.272   0.663   0.049
2013-266  2013-09-23    2013  266  Mon  5     4.001   4.328   4.328   0.000   4.328   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.082   1.082   1.082   1.082   1.000   1.000   1.000   8.221   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722 113.932   0.000   0.000   0.000   0.000   8.221   0.067   0.000   0.268   0.647   0.039
2013-267  2013-09-24    2013  267  Tue  6     4.144   3.823   3.823   0.000   3.823   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.098   0.922   0.922   0.922   0.840   1.000   1.000  12.044   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722 110.109   0.000   0.000   0.000   0.000  12.044   0.099   0.000   0.264   0.632   0.031
2013-268  2013-09-25    2013  268  Wed  7     4.022   2.475   2.475   0.000   2.475   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.088   0.615   0.615   0.615   0.566   1.000   1.000  14.518   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722 107.635   0.000   0.000   0.000   0.000  14.518   0.119   0.000   0.262   0.623   0.027
2013-269  2013-09-26    2013  269  Thu  8     3.409   1.434   1.434   0.000   1.434   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.086   0.421   0.421   0.421   0.388   1.000   1.000  15.953   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722 106.200   0.000   0.000   0.000   0.000  15.953   0.131   0.000   0.260   0.618   0.025
2013-270  2013-09-27    2013  270  Fri  9     4.047   1.253   1.253   0.000   1.253   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.089   0.310   0.310   0.310   0.284   1.000   1.000  17.206   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722 104.947   0.000   0.000   0.000   0.000  17.206   0.141   0.000   0.259   0.613   0.023
2013-271  2013-09-28    2013  271  Sat  10    3.571   0.748   0.748   0.000   0.748   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.078   0.210   0.210   0.210   0.194   1.000   1.000  17.954   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722 104.199   0.000   0.000   0.000   0.000  17.954   0.147   0.000   0.258   0.610   0.022
