************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:22
Simulation start date: 2004-05-21
Simulation end date: 2004-09-18
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2004 Rice -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2004-142  2004-05-21    2004  142  Fri  0    11.209   1.681   0.998   0.998   0.000   0.333   0.594   0.050   0.200   0.000   0.150   0.150   1.180   0.150   0.089   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  24.431  17.202  24.093   0.000   0.000   0.000   0.000  17.202  24.431   1.000   1.000   0.154   0.220   0.000
2004-143  2004-05-22    2004  143  Sat  1    10.218   1.533   0.178   0.178   0.000   0.339   0.116   0.050   0.205   0.000   0.150   0.150   1.180   0.150   0.017   0.000   0.000   1.000   1.000   0.000   0.000   0.000   0.000  36.514   0.000   1.057  25.082  17.660  25.178  36.335   0.000  11.253  25.082   6.407   0.000   0.000   0.363   0.331   0.883   1.057
2004-144  2004-05-23    2004  144  Sun  2     8.919  10.752  10.752   1.338   9.414   0.100   1.000   0.050   0.211   0.000   0.150   0.150   1.206   1.206   1.206   1.056   1.000   1.000   1.000   9.414   0.000   0.000   0.000   0.000   0.000   0.000  25.734  18.119   7.627  24.526   0.000   0.000  24.526  18.119   1.207   0.047   1.000   0.270   0.656   0.044
2004-145  2004-05-24    2004  145  Mon  3     7.208   6.605   6.462   0.938   5.524   0.136   0.867   0.050   0.216   0.000   0.150   0.150   1.166   0.916   0.896   0.766   0.755   1.000   1.000   0.000   0.044  19.326   0.000   0.000   0.000   0.859  26.385  18.578  10.618  37.391   0.000  11.006  26.385   7.572   0.000   0.000   0.408   0.327   0.869   0.859
2004-146  2004-05-25    2004  146  Tue  4     7.092   8.235   8.235   1.064   7.171   0.100   1.000   0.050   0.221   0.000   0.150   0.150   1.161   1.161   1.161   1.011   1.000   1.000   1.000   7.171   0.000   0.000   0.000   0.000   0.000   0.083  27.037  19.036   8.013  28.297   0.000   1.260  27.037  17.776   0.000   0.000   0.934   0.282   0.699   0.083
2004-147  2004-05-26    2004  147  Wed  5     6.443   7.433   7.312   0.845   6.467   0.103   0.875   0.050   0.227   0.000   0.150   0.150   1.154   1.154   1.135   1.004   1.000   1.000   1.000   0.000   0.083  17.776   0.000   0.000   0.000   0.753  27.688  19.495   8.426  38.678   0.000  10.990  27.688   8.505   0.000   0.000   0.436   0.325   0.859   0.753
2004-148  2004-05-27    2004  148  Thu  6     6.048   7.000   7.000   0.907   6.093   0.120   1.000   0.050   0.232   0.000   0.150   0.150   1.157   1.157   1.157   1.007   1.000   1.000   1.000   6.093   0.000   0.000   0.000   0.000   0.000   0.110  28.339  19.954  10.079  30.925   0.000   2.585  28.339  17.369   0.000   0.000   0.870   0.287   0.719   0.110
2004-149  2004-05-28    2004  149  Fri  7     6.644   7.713   7.604   0.888   6.716   0.100   0.891   0.050   0.237   0.000   0.150   0.150   1.161   1.161   1.144   1.011   1.000   1.000   1.000   0.000   0.110  17.369   0.000   0.000   0.000   0.767  28.991  20.413   8.592  40.580   0.000  11.589  28.991   8.824   0.000   0.000   0.432   0.325   0.861   0.767
2004-150  2004-05-29    2004  150  Sat  8     8.546   9.994   9.993   1.281   8.712   0.100   1.000   0.050   0.243   0.000   0.150   0.150   1.169   1.169   1.169   1.019   1.000   1.000   1.000   8.712   0.000   0.000   0.000   0.000   0.000   0.063  29.642  20.871   8.786  29.819   0.000   0.177  29.642  20.694   0.000   0.000   0.992   0.277   0.680   0.063
2004-151  2004-05-30    2004  151  Sun  9     7.734   8.950   8.780   0.990   7.790   0.100   0.854   0.050   0.248   0.000   0.150   0.150   1.157   1.157   1.135   1.007   1.000   1.000   1.000   0.000   0.063  20.694   0.000   0.000   0.000   0.657  30.294  21.330   8.979  41.671   0.000  11.377  30.294   9.953   0.000   0.000   0.467   0.322   0.850   0.657
