************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:19
Simulation start date: 1992-09-28
Simulation end date: 1993-01-31
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 1992 Wheat -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
1992-272  1992-09-28    1992  272  Mon  0     4.877   0.732   0.732   0.732   0.000   0.721   1.000   0.050   0.200   0.000   0.150   0.150   1.154   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  24.431   0.000  17.608  23.693   0.000   0.000   0.000   0.000   0.738   0.030   0.000   0.272   0.664   0.050
1992-273  1992-09-29    1992  273  Tue  1     4.986   0.748   0.748   0.748   0.000   0.720   1.000   0.050   0.222   0.000   0.150   0.150   1.154   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  27.145   0.000  19.547  22.945   0.000   0.000   0.000   0.000   1.486   0.055   0.000   0.257   0.607   0.021
1992-274  1992-09-30    1992  274  Wed  2     4.997   0.750   0.750   0.750   0.000   0.720   1.000   0.050   0.244   0.000   0.150   0.150   1.154   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  29.860   0.000  21.499  22.195   0.000   0.000   0.000   0.000   2.235   0.075   0.000   0.245   0.560   0.010
1992-275  1992-10-01    1992  275  Thu  3     5.907   0.886   0.886   0.886   0.000   0.715   1.000   0.050   0.267   0.000   0.150   0.150   1.164   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  32.574   0.000  23.276  21.309   0.000   0.000   0.000   0.000   3.121   0.096   0.000   0.234   0.519   0.005
1992-276  1992-10-02    1992  276  Fri  4     5.752   0.863   0.863   0.863   0.000   0.715   1.000   0.050   0.289   0.000   0.150   0.150   1.161   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  35.289   0.000  25.249  20.446   0.000   0.000   0.000   0.000   3.984   0.113   0.000   0.225   0.485   0.003
1992-277  1992-10-03    1992  277  Sat  5     6.061   0.909   0.909   0.909   0.000   0.714   1.000   0.050   0.311   0.000   0.150   0.150   1.168   0.150   0.150   0.000   0.000   1.000   1.000  19.527   0.000   0.000   0.000   0.382   0.000   0.000  38.003   0.000  27.120  19.919   0.000   0.000   0.000   0.000   4.511   0.119   0.000   0.218   0.460   0.002
1992-278  1992-10-04    1992  278  Sun  6     4.839   0.860   0.860   0.726   0.134   0.716   1.000   0.050   0.333   0.000   0.150   0.150   1.157   0.178   0.178   0.028   0.027   1.000   1.000  19.178   0.000   0.000   0.000   0.483   0.000   0.000  40.718   0.000  29.138  19.543   0.000   0.000   0.000   0.000   4.888   0.120   0.000   0.213   0.440   0.001
1992-279  1992-10-05    1992  279  Mon  7     4.986   1.013   1.013   0.748   0.265   0.709   1.000   0.050   0.356   0.000   0.150   0.150   1.161   0.203   0.203   0.053   0.053   1.000   1.000  18.712   0.000   0.000   0.000   0.730   0.000   0.000  43.432   0.000  30.814  19.260   0.000   0.000   0.000   0.000   5.170   0.119   0.000   0.208   0.423   0.001
1992-280  1992-10-06    1992  280  Tue  8     4.014   0.951   0.951   0.602   0.349   0.712   1.000   0.050   0.378   0.000   0.150   0.150   1.160   0.237   0.237   0.087   0.086   1.000   1.000  12.294   0.000   0.000   0.000   6.767   0.000   0.646  46.147   0.000  32.855  25.077   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.220   0.469   0.002
1992-281  1992-10-07    1992  281  Wed  9     5.047   3.551   3.551   0.757   2.794   0.608   1.000   0.050   0.400   0.000   0.150   0.150   1.161   0.703   0.703   0.553   0.548   1.000   1.000  15.088   0.000   0.000   0.000   0.000   0.000   0.000  48.861   0.000  29.706  20.880   0.000   0.000   0.000   0.000   3.551   0.073   0.000   0.206   0.415   0.001
1992-282  1992-10-08    1992  282  Thu  10    4.732   2.361   2.361   0.710   1.651   0.656   1.000   0.050   0.422   0.000   0.150   0.150   1.156   0.499   0.499   0.349   0.347   1.000   1.000  16.738   0.000   0.000   0.000   0.000   0.000   0.000  51.576   0.000  33.812  18.519   0.000   0.000   0.000   0.000   5.912   0.115   0.000   0.198   0.384   0.000
1992-283  1992-10-09    1992  283  Fri  11    4.312   1.630   1.630   0.647   0.984   0.685   1.000   0.050   0.444   0.000   0.150   0.150   1.151   0.378   0.378   0.228   0.228   1.000   1.000  17.722   0.000   0.000   0.000   0.000   0.000   0.000  54.290   0.000  37.177  16.889   0.000   0.000   0.000   0.000   7.542   0.139   0.000   0.192   0.362   0.000
1992-284  1992-10-10    1992  284  Sat  12    4.116   1.265   1.265   0.617   0.647   0.699   1.000   0.050   0.467   0.000   0.150   0.150   1.150   0.307   0.307   0.157   0.157   1.000   1.000  18.369   0.000   0.000   0.000   0.000   0.000   0.000  57.005   0.000  39.870  15.624   0.000   0.000   0.000   0.000   8.807   0.154   0.000   0.187   0.345   0.000
1992-285  1992-10-11    1992  285  Sun  13    3.824   1.001   1.001   0.574   0.427   0.710   1.000   0.050   0.489   0.000   0.150   0.150   1.159   0.262   0.262   0.112   0.111   1.000   1.000  18.797   0.000   0.000   0.000   0.000   0.000   0.000  59.719   0.000  42.398  14.623   0.000   0.000   0.000   0.000   9.808   0.164   0.000   0.184   0.332   0.000
1992-286  1992-10-12    1992  286  Mon  14    3.724   0.858   0.858   0.559   0.300   0.716   1.000   0.050   0.511   0.000   0.150   0.150   1.156   0.230   0.230   0.080   0.080   1.000   1.000  19.096   0.000   0.000   0.000   0.000   0.000   0.000  62.434   0.000  44.682  13.765   0.000   0.000   0.000   0.000  10.666   0.171   0.000   0.181   0.321   0.000
1992-287  1992-10-13    1992  287  Tue  15    4.469   0.934   0.934   0.670   0.264   0.713   1.000   0.050   0.533   0.000   0.150   0.150   1.159   0.209   0.209   0.059   0.058   1.000   1.000  19.360   0.000   0.000   0.000   0.000   0.000   0.000  65.148   0.000  46.427  12.831   0.000   0.000   0.000   0.000  11.600   0.178   0.000   0.178   0.310   0.000
1992-288  1992-10-14    1992  288  Wed  16    5.147   1.118   1.118   0.919   0.199   0.705   1.000   0.082   0.556   0.025   0.179   0.179   1.158   0.217   0.217   0.039   0.039   1.000   0.975  19.564   0.000   0.000   0.000   0.000   0.000   0.000  67.863   0.000  47.861  11.712   0.000   0.000   0.000   0.000  12.718   0.187   0.000   0.175   0.299   0.000
1992-289  1992-10-15    1992  289  Thu  17    5.475   1.263   1.263   1.134   0.129   0.699   1.000   0.113   0.578   0.048   0.207   0.207   1.153   0.231   0.231   0.023   0.025   1.000   0.952  19.699   0.000   0.000   0.000   0.000   0.000   0.000  70.577   0.000  49.368  10.449   0.000   0.000   0.000   0.000  13.981   0.198   0.000   0.172   0.288   0.000
1992-290  1992-10-16    1992  290  Fri  18    5.552   1.386   1.386   1.309   0.077   0.695   1.000   0.145   0.600   0.072   0.236   0.236   1.149   0.250   0.250   0.014   0.015   1.000   0.928  19.782   0.000   0.000   0.000   0.000   0.000   0.000  73.292   0.000  50.907   9.064   0.000   0.000   0.000   0.000  15.367   0.210   0.000   0.169   0.276   0.000
1992-291  1992-10-17    1992  291  Sat  19    4.185   1.136   1.136   1.102   0.033   0.705   1.000   0.175   0.622   0.096   0.263   0.263   1.130   0.271   0.271   0.008   0.009   1.000   0.904  19.818   0.000   0.000   0.000   0.000   0.000   0.000  76.006   0.000  53.552   7.928   0.000   0.000   0.000   0.000  16.502   0.217   0.000   0.167   0.268   0.000
1992-292  1992-10-18    1992  292  Sun  20    4.153   1.233   1.233   1.210   0.023   0.701   1.000   0.206   0.644   0.118   0.291   0.291   1.134   0.297   0.297   0.006   0.007   1.000   0.882  19.844   0.000   0.000   0.000   0.000   0.000   0.000  78.721   0.000  55.157   6.695   0.000   0.000   0.000   0.000  17.736   0.225   0.000   0.164   0.259   0.000
1992-293  1992-10-19    1992  293  Mon  21    4.665   1.510   1.510   1.492   0.018   0.690   1.000   0.238   0.667   0.140   0.320   0.320   1.137   0.324   0.324   0.004   0.005   1.000   0.860  19.865   0.000   0.000   0.000   0.000   0.000   0.000  81.435   0.000  56.158   5.185   0.000   0.000   0.000   0.000  19.245   0.236   0.000   0.162   0.249   0.000
1992-294  1992-10-20    1992  294  Tue  22    5.556   1.953   1.953   1.939   0.014   0.672   1.000   0.270   0.689   0.160   0.349   0.349   1.150   0.352   0.352   0.003   0.003   1.000   0.840  19.882   0.000   0.000   0.000   0.000   0.000   0.000  84.150   0.000  56.539   3.232   0.000   0.000   0.000   0.000  21.198   0.252   0.000   0.159   0.237   0.000
1992-295  1992-10-21    1992  295  Wed  23    5.023   1.904   1.904   1.897   0.008   0.674   1.000   0.302   0.711   0.185   0.378   0.378   1.138   0.379   0.379   0.001   0.002   1.000   0.815  19.891   0.000   0.000   0.000   0.000   0.000   0.000  86.864   0.000  58.532   1.328   0.000   0.000   0.000   0.000  23.103   0.266   0.000   0.156   0.227   0.000
1992-296  1992-10-22    1992  296  Thu  24    4.961   2.020   2.020   2.015   0.005   0.669   1.000   0.333   0.733   0.208   0.406   0.406   1.136   0.407   0.407   0.001   0.001   1.000   0.792  19.897   0.000   0.000   0.000   0.000   0.000   0.000  89.579   0.000  59.947   0.000   0.000   0.000   0.000   0.000  25.122   0.280   0.000   0.154   0.220   0.000
1992-297  1992-10-23    1992  297  Fri  25    5.348   2.331   2.331   2.328   0.003   0.657   1.000   0.365   0.756   0.229   0.435   0.435   1.143   0.436   0.436   0.001   0.001   1.000   0.771  19.901   0.000   0.000   0.000   0.000   0.000   0.000  92.293   0.000  60.615   0.000   0.000   0.000   0.000   0.000  27.453   0.297   0.000   0.154   0.220   0.000
1992-298  1992-10-24    1992  298  Sat  26    5.399   2.509   2.509   2.507   0.002   0.650   1.000   0.397   0.778   0.252   0.464   0.464   1.142   0.465   0.465   0.000   0.001   1.000   0.748  19.904   0.000   0.000   0.000   0.000   0.000   0.000  95.008   0.000  61.722   0.000   0.000   0.000   0.000   0.000  29.962   0.315   0.000   0.154   0.220   0.000
1992-299  1992-10-25    1992  299  Sun  27    4.031   1.984   1.984   1.983   0.001   0.671   1.000   0.428   0.800   0.285   0.492   0.492   1.112   0.492   0.492   0.000   0.000   1.000   0.715  19.769   0.000   0.000   0.000   0.137   0.000   0.000  97.722   0.000  65.535   0.000   0.000   0.000   0.000   0.000  31.809   0.326   0.000   0.154   0.220   0.000
1992-300  1992-10-26    1992  300  Mon  28    4.696   2.472   2.472   2.444   0.029   0.651   1.000   0.459   0.822   0.305   0.520   0.520   1.124   0.527   0.527   0.006   0.010   1.000   0.695  19.810   0.000   0.000   0.000   0.000   0.000   0.000 100.437   0.000  65.395   0.000   0.000   0.000   0.000   0.000  34.282   0.341   0.000   0.154   0.220   0.000
1992-301  1992-10-27    1992  301  Tue  29    4.286   2.369   2.369   2.352   0.018   0.655   1.000   0.491   0.844   0.330   0.549   0.549   1.120   0.553   0.553   0.004   0.007   1.000   0.670  19.836   0.000   0.000   0.000   0.000   0.000   0.000 103.151   0.000  67.589   0.000   0.000   0.000   0.000   0.000  36.651   0.355   0.000   0.154   0.220   0.000
1992-302  1992-10-28    1992  302  Wed  30    3.575   2.070   2.070   2.060   0.010   0.667   1.000   0.521   0.867   0.362   0.576   0.576   1.104   0.579   0.579   0.003   0.005   1.000   0.638  19.852   0.000   0.000   0.000   0.000   0.000   0.000 105.866   0.000  70.633   0.000   0.000   0.000   0.000   0.000  38.721   0.366   0.000   0.154   0.220   0.000
1992-303  1992-10-29    1992  303  Thu  31    4.075   2.472   2.472   2.464   0.009   0.651   1.000   0.552   0.889   0.382   0.605   0.605   1.115   0.607   0.607   0.002   0.004   1.000   0.618  19.866   0.000   0.000   0.000   0.000   0.000   0.000 108.580   0.000  70.698   0.000   0.000   0.000   0.000   0.000  41.193   0.379   0.000   0.154   0.220   0.000
1992-304  1992-10-30    1992  304  Fri  32    4.107   2.605   2.605   2.599   0.006   0.646   1.000   0.584   0.911   0.409   0.633   0.633   1.115   0.634   0.634   0.002   0.003   1.000   0.591  19.876   0.000   0.000   0.000   0.000   0.000   0.000 111.295   0.000  71.873   0.000   0.000   0.000   0.000   0.000  43.799   0.394   0.000   0.154   0.220   0.000
1992-305  1992-10-31    1992  305  Sat  33    3.363   2.224   2.224   2.220   0.003   0.661   1.000   0.614   0.933   0.449   0.660   0.660   1.092   0.661   0.661   0.001   0.002   1.000   0.551  19.882   0.000   0.000   0.000   0.000   0.000   0.000 114.009   0.000  75.366   0.000   0.000   0.000   0.000   0.000  46.023   0.404   0.000   0.154   0.220   0.000
1992-306  1992-11-01    1992  306  Sun  34    3.305   2.275   2.275   2.272   0.003   0.659   1.000   0.644   0.956   0.478   0.687   0.687   1.089   0.688   0.688   0.001   0.002   1.000   0.522  19.887   0.000   0.000   0.000   0.000   0.000   0.000 116.724   0.000  76.922   0.000   0.000   0.000   0.000   0.000  48.297   0.414   0.000   0.154   0.220   0.000
