ID,Crop_Type,Year,Season,Planting_Date,Irrig_Crit_Source,Irrig_Crit,ETref,ETc,ETcadj,E,T,DP,K,Rain,Runoff,Irrig,IrrLoss,Gross_Irrig,Num_Irrig,Mean_Irrig,Veff_ini,Veff_end,theta0
1,Rice,1988,120,1988-05-11,madDs,0.47,745.389,766.676,759.193,418.287,340.906,634.733,5.25,714.73,0.0,724.687,0.0,942.093,29,24.989,0.0,46.299,0.231
1,Wheat,1988,125,1988-09-18,mad,0.5,428.578,355.359,354.395,61.01,293.385,355.847,0.765,417.241,0.0,303.989,0.0,395.185,5,60.798,0.0,63.378,0.207
2,Rice,1989,120,1989-05-11,madDs,0.47,741.631,784.664,778.719,403.467,375.252,519.893,4.299,483.44,0.0,906.04,0.0,1177.852,37,24.488,0.0,92.138,0.307
2,Wheat,1989,125,1989-09-18,mad,0.5,455.358,352.673,351.717,63.566,288.151,0.0,0.001,19.089,0.0,322.448,0.0,419.182,6,53.741,0.0,40.837,0.188
5,Rice,1992,120,1992-05-11,madDs,0.47,739.781,789.606,784.049,428.617,355.432,225.818,1.868,255.841,0.0,868.421,0.0,1128.948,35,24.812,0.0,119.893,0.354
5,Wheat,1992,125,1992-09-18,mad,0.5,446.87,360.755,360.586,66.012,294.574,0.0,0.0,33.362,0.0,314.761,0.0,409.189,6,52.46,4.624,43.069,0.19
4,Rice,1991,120,1991-05-11,madDs,0.47,783.308,833.283,826.729,422.701,404.029,363.824,3.008,379.55,0.0,916.513,0.0,1191.467,38,24.119,0.0,107.469,0.333
4,Wheat,1991,125,1991-09-18,mad,0.5,471.179,361.649,361.129,62.322,298.807,0.0,0.0,29.374,0.0,310.737,0.0,403.958,6,51.79,2.524,33.551,0.182
6,Rice,1993,120,1993-05-11,madDs,0.47,770.42,822.414,816.676,424.226,392.451,398.276,3.293,440.413,0.0,878.916,0.0,1142.591,36,24.414,0.0,106.306,0.331
6,Wheat,1993,125,1993-09-18,mad,0.5,460.944,368.529,368.044,45.537,322.506,17.599,0.001,29.177,0.0,371.368,0.0,482.778,6,61.895,2.324,68.793,0.211
8,Rice,1995,120,1995-05-11,madDs,0.47,779.256,831.578,823.408,467.68,355.728,739.646,6.115,771.277,0.0,917.855,0.0,1193.212,35,26.224,0.0,158.885,0.419
8,Wheat,1995,125,1995-09-18,mad,0.5,470.768,354.312,354.312,34.277,320.035,0.0,0.0,56.392,0.0,294.02,0.0,382.226,5,58.804,11.124,59.495,0.203
3,Rice,1990,120,1990-05-11,madDs,0.47,729.395,780.771,775.351,419.04,356.311,428.088,3.54,455.527,0.0,862.527,0.0,1121.285,35,24.644,0.0,147.418,0.4
3,Wheat,1990,125,1990-09-18,mad,0.5,431.053,343.429,343.429,41.04,302.389,13.856,0.001,49.869,0.0,302.532,0.0,393.291,5,60.506,9.224,56.507,0.201
7,Rice,1994,120,1994-05-11,madDs,0.47,711.884,754.15,748.561,418.063,330.498,615.419,5.087,747.112,0.0,724.087,0.0,941.313,29,24.969,0.0,109.445,0.336
7,Wheat,1994,125,1994-09-18,mad,0.5,449.7,359.101,358.646,63.085,295.561,2.12,0.001,59.455,0.0,316.592,0.0,411.569,6,52.765,2.824,68.894,0.211
9,Rice,1996,120,1996-05-11,madDs,0.47,656.234,697.317,693.113,373.374,319.739,435.946,3.606,458.675,0.0,764.674,0.0,994.077,32,23.896,0.0,127.222,0.366
9,Wheat,1996,125,1996-09-18,mad,0.5,480.644,415.191,415.16,68.84,346.319,0.666,0.0,43.739,0.0,328.06,0.0,426.479,6,54.677,5.824,14.846,0.166
