************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-01-27 19:45:10
Simulation start date: 2018-01-25
Simulation end date: 2018-05-25
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2017 Maize CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2018-025  2018-01-25    2018  025  Thu  0     2.617   0.393   0.000   0.000   0.000   0.684   0.000   0.100   0.200   0.000   0.150   0.150   1.165   0.150   0.000   0.000   0.000   1.000   1.000   0.000   0.000  36.488   0.000   0.000   0.000   0.000  24.548   0.000  16.798   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.157   0.000   0.000
2018-026  2018-01-26    2018  026  Fri  1     2.212   2.555   2.555   0.332   2.223   0.598   1.000   0.100   0.221   0.000   0.150   0.150   1.155   1.155   1.155   1.005   1.000   1.000   1.000   2.223   0.000   0.000   0.000   0.000   0.000   0.000  27.105   0.000  16.203   0.000   0.000   0.000   0.000   0.000   2.555   0.094   0.000   0.157   0.000   0.000
2018-027  2018-01-27    2018  027  Sat  2     2.477   2.861   2.861   0.372   2.489   0.586   1.000   0.100   0.242   0.000   0.150   0.150   1.155   1.155   1.155   1.005   1.000   1.000   1.000   4.713   0.000   0.000   0.000   0.000   0.000   0.000  29.662   0.000  17.369   0.000   0.000   0.000   0.000   0.000   5.416   0.183   0.000   0.157   0.000   0.000
2018-028  2018-01-28    2018  028  Sun  3     2.588   2.998   2.998   0.388   2.610   0.580   1.000   0.100   0.263   0.000   0.150   0.150   1.159   1.159   1.159   1.009   1.000   1.000   1.000   7.323   0.000   0.000   0.000   0.000   0.000   0.000  32.219   0.000  18.689   0.000   0.000   0.000   0.000   0.000   8.414   0.261   0.000   0.157   0.000   0.000
2018-029  2018-01-29    2018  029  Mon  4     3.085   3.602   3.602   0.463   3.140   0.556   1.000   0.100   0.283   0.000   0.150   0.150   1.168   1.168   1.168   1.018   1.000   1.000   1.000  10.462   0.000   0.000   0.000   0.000   0.000   0.000  34.776   0.000  19.332   0.000   0.000   0.000   0.000   0.000  12.017   0.346   0.000   0.157   0.000   0.000
2018-030  2018-01-30    2018  030  Tue  5     4.618   5.286   5.286   0.693   4.593   0.489   1.000   0.100   0.304   0.000   0.150   0.150   1.192   1.145   1.145   0.995   0.954   1.000   1.000  15.056   0.000   0.000   0.000   0.000   0.000   0.000  37.333   0.000  18.239   0.000   0.000   0.000   0.000   0.000  17.303   0.463   0.000   0.157   0.000   0.000
2018-031  2018-01-31    2018  031  Wed  6     4.782   3.201   3.201   0.717   2.484   0.572   1.000   0.100   0.325   0.000   0.150   0.150   1.189   0.669   0.669   0.519   0.500   1.000   1.000  17.539   0.000   0.000   0.000   0.000   0.000   0.000  39.890   0.000  22.815   0.000   0.000   0.000   0.000   0.000  20.504   0.514   0.000   0.157   0.000   0.000
2018-032  2018-02-01    2018  032  Thu  7     4.044   1.651   1.651   0.607   1.045   0.634   1.000   0.100   0.346   0.000   0.150   0.150   1.165   0.408   0.408   0.258   0.254   1.000   1.000  18.584   0.000   0.000   0.000   0.000   0.000   0.000  42.447   0.000  26.909   0.000   0.000   0.000   0.000   0.000  22.155   0.522   0.000   0.157   0.000   0.000
2018-033  2018-02-02    2018  033  Fri  8     3.445   1.040   1.040   0.517   0.523   0.658   1.000   0.100   0.367   0.000   0.150   0.150   1.155   0.302   0.302   0.152   0.151   1.000   1.000  19.107   0.000   0.000   0.000   0.000   0.000   0.000  45.004   0.000  29.630   0.000   0.000   0.000   0.000   0.000  23.195   0.515   0.000   0.157   0.000   0.000
2018-034  2018-02-03    2018  034  Sat  9     3.653   0.918   0.918   0.548   0.370   0.663   1.000   0.100   0.388   0.000   0.150   0.150   1.170   0.251   0.251   0.101   0.099   1.000   1.000  19.477   0.000   0.000   0.000   0.000   0.000   0.000  47.561   0.000  31.546   0.000   0.000   0.000   0.000   0.000  24.113   0.507   0.000   0.157   0.000   0.000
2018-035  2018-02-04    2018  035  Sun  10    3.825   0.821   0.821   0.574   0.247   0.667   1.000   0.100   0.408   0.000   0.150   0.150   1.178   0.215   0.215   0.065   0.063   1.000   1.000  19.724   0.000   0.000   0.000   0.000   0.000   0.000  50.118   0.000  33.438   0.000   0.000   0.000   0.000   0.000  24.934   0.498   0.000   0.157   0.000   0.000
2018-036  2018-02-05    2018  036  Mon  11    3.064   0.579   0.579   0.460   0.119   0.677   1.000   0.100   0.429   0.000   0.150   0.150   1.163   0.189   0.189   0.039   0.038   1.000   1.000  19.843   0.000   0.000   0.000   0.000   0.000   0.000  52.675   0.000  35.653   0.000   0.000   0.000   0.000   0.000  25.513   0.484   0.000   0.157   0.000   0.000
2018-037  2018-02-06    2018  037  Tue  12    4.251   0.756   0.756   0.638   0.118   0.670   1.000   0.100   0.450   0.000   0.150   0.150   1.197   0.178   0.178   0.028   0.027   1.000   1.000  19.962   0.000   0.000   0.000   0.000   0.000   0.000  55.232   0.000  36.992   0.000   0.000   0.000   0.000   0.000  26.269   0.476   0.000   0.157   0.000   0.000
2018-038  2018-02-07    2018  038  Wed  13    4.050   0.781   0.781   0.720   0.061   0.669   1.000   0.167   0.471   0.020   0.178   0.178   1.196   0.193   0.193   0.015   0.015   1.000   0.980  20.024   0.000   0.000   0.000   0.000   0.000   0.000  57.789   0.000  38.646   0.000   0.000   0.000   0.000   0.000  27.050   0.468   0.000   0.157   0.000   0.000
2018-039  2018-02-08    2018  039  Thu  14    3.793   0.812   0.812   0.780   0.032   0.668   1.000   0.233   0.492   0.038   0.206   0.206   1.183   0.214   0.214   0.008   0.009   1.000   0.962  20.058   0.000   0.000   0.000   0.000   0.000   0.000  60.346   0.000  40.283   0.000   0.000   0.000   0.000   0.000  27.862   0.462   0.000   0.157   0.000   0.000
2018-040  2018-02-09    2018  040  Fri  15    3.915   0.934   0.934   0.914   0.020   0.663   1.000   0.300   0.512   0.055   0.233   0.233   1.183   0.238   0.238   0.005   0.005   1.000   0.945  20.079   0.000   0.000   0.000   0.000   0.000   0.000  62.903   0.000  41.683   0.000   0.000   0.000   0.000   0.000  28.795   0.458   0.000   0.157   0.000   0.000
2018-041  2018-02-10    2018  041  Sat  16    3.535   0.933   0.933   0.923   0.010   0.663   1.000   0.367   0.533   0.074   0.261   0.261   1.152   0.264   0.264   0.003   0.003   1.000   0.926  20.090   0.000   0.000   0.000   0.000   0.000   0.000  65.460   0.000  43.378   0.000   0.000   0.000   0.000   0.000  29.729   0.454   0.000   0.157   0.000   0.000
2018-042  2018-02-11    2018  042  Sun  17    3.270   0.951   0.951   0.945   0.006   0.662   1.000   0.433   0.554   0.092   0.289   0.289   1.135   0.291   0.291   0.002   0.002   1.000   0.908  20.097   0.000   0.000   0.000   0.000   0.000   0.000  68.017   0.000  45.026   0.000   0.000   0.000   0.000   0.000  30.679   0.451   0.000   0.157   0.000   0.000
2018-043  2018-02-12    2018  043  Mon  18    1.622   0.516   0.516   0.514   0.002   0.679   1.000   0.500   0.575   0.102   0.317   0.317   1.182   0.318   0.318   0.001   0.002   1.000   0.898  20.099   0.000   0.000   0.000   0.000   0.000   0.000  70.574   0.000  47.946   0.000   0.000   0.000   0.000   0.000  31.195   0.442   0.000   0.157   0.000   0.000
2018-044  2018-02-13    2018  044  Tue  19    3.265   1.128   1.128   1.125   0.003   0.655   1.000   0.567   0.596   0.125   0.344   0.344   1.134   0.345   0.345   0.001   0.001   1.000   0.875  20.103   0.000   0.000   0.000   0.000   0.000   0.000  73.131   0.000  47.893   0.000   0.000   0.000   0.000   0.000  32.323   0.442   0.000   0.157   0.000   0.000
2018-045  2018-02-14    2018  045  Wed  20    3.983   1.485   1.485   1.482   0.003   0.641   1.000   0.633   0.617   0.135   0.372   0.372   1.170   0.373   0.373   0.001   0.001   1.000   0.865  20.106   0.000   0.000   0.000   0.000   0.000   0.000  75.688   0.000  48.485   0.000   0.000   0.000   0.000   0.000  33.808   0.447   0.000   0.157   0.000   0.000
2018-046  2018-02-15    2018  046  Thu  21    3.819   1.529   1.529   1.528   0.002   0.639   1.000   0.700   0.637   0.153   0.400   0.400   1.156   0.400   0.400   0.000   0.001   1.000   0.847  20.108   0.000   0.000   0.000   0.000   0.000   0.000  78.245   0.000  49.986   0.000   0.000   0.000   0.000   0.000  35.338   0.452   0.000   0.157   0.000   0.000
2018-047  2018-02-16    2018  047  Fri  22    3.728   1.596   1.596   1.595   0.001   0.636   1.000   0.767   0.658   0.174   0.428   0.428   1.133   0.428   0.428   0.000   0.000   1.000   0.826  20.110   0.000   0.000   0.000   0.000   0.000   0.000  80.803   0.000  51.404   0.000   0.000   0.000   0.000   0.000  36.933   0.457   0.000   0.157   0.000   0.000
2018-048  2018-02-17    2018  048  Sat  23    4.039   1.841   1.841   1.840   0.001   0.626   1.000   0.833   0.679   0.189   0.456   0.456   1.139   0.456   0.456   0.000   0.000   1.000   0.811  20.111   0.000   0.000   0.000   0.000   0.000   0.000  83.360   0.000  52.214   0.000   0.000   0.000   0.000   0.000  38.774   0.465   0.000   0.157   0.000   0.000
2018-049  2018-02-18    2018  049  Sun  24    3.929   1.899   1.899   1.899   0.000   0.624   1.000   0.900   0.700   0.213   0.483   0.483   1.119   0.483   0.483   0.000   0.000   1.000   0.787  20.111   0.000   0.000   0.000   0.000   0.000   0.000  85.917   0.000  53.614   0.000   0.000   0.000   0.000   0.000  40.674   0.473   0.000   0.157   0.000   0.000
2018-050  2018-02-19    2018  050  Mon  25    3.596   1.838   1.838   1.838   0.000   0.626   1.000   0.967   0.721   0.237   0.511   0.511   1.102   0.511   0.511   0.000   0.000   1.000   0.763  20.111   0.000   0.000   0.000   0.000   0.000   0.000  88.474   0.000  55.426   0.000   0.000   0.000   0.000   0.000  42.512   0.481   0.000   0.157   0.000   0.000
