************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-10 16:01:03
Simulation start date: 2017-07-01
Simulation end date: 2017-10-29
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2018 TPR -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2017-182  2017-07-01    2017  182  Sat  0     4.638   5.353   5.353   0.696   4.657   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.154   1.154   1.154   1.004   1.000   1.000   1.000  17.767   0.000   0.000   0.000   6.799   0.000   3.141  61.077  43.004  36.204 201.014  96.933  43.004  61.077   0.000   0.000   0.000   0.000   0.556   1.000   3.141
2017-183  2017-07-02    2017  183  Sun  1     3.774   4.412   4.412   0.566   3.846   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.169   1.169   1.169   1.019   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  36.204 193.461  89.380  43.004  61.077   0.000   0.000   0.000   0.000   0.541   1.000   3.141
2017-184  2017-07-03    2017  184  Mon  2     4.892   5.632   5.632   0.734   4.899   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.151   1.151   1.151   1.001   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  36.204 184.687  80.607  43.004  61.077   0.000   0.000   0.000   0.000   0.523   1.000   3.141
2017-185  2017-07-04    2017  185  Tue  3     5.738   6.687   6.687   0.861   5.827   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.165   1.165   1.165   1.015   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  36.204 174.859  70.778  43.004  61.077   0.000   0.000   0.000   0.000   0.504   1.000   3.141
2017-186  2017-07-05    2017  186  Wed  4     6.261   7.332   7.332   0.939   6.393   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.171   1.171   1.171   1.021   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  36.204 164.386  60.306  43.004  61.077   0.000   0.000   0.000   0.000   0.483   1.000   3.141
2017-187  2017-07-06    2017  187  Thu  5     4.907   5.731   5.731   0.736   4.994   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.168   1.168   1.168   1.018   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  36.204 155.515  51.434  43.004  61.077   0.000   0.000   0.000   0.000   0.465   1.000   3.141
2017-188  2017-07-07    2017  188  Fri  6     4.781   5.531   5.531   0.717   4.813   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.157   1.157   1.157   1.007   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  36.204 146.843  42.763  43.004  61.077   0.000   0.000   0.000   0.000   0.448   1.000   3.141
2017-189  2017-07-08    2017  189  Sat  7     5.694   6.587   6.587   0.854   5.733   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.157   1.157   1.157   1.007   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  36.204 137.115  33.035  43.004  61.077   0.000   0.000   0.000   0.000   0.428   1.000   3.141
2017-190  2017-07-09    2017  190  Sun  8     5.862   6.806   6.806   0.879   5.926   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.161   1.161   1.161   1.011   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  36.204 127.168  23.088  43.004  61.077   0.000   0.000   0.000   0.000   0.408   1.000   3.141
2017-191  2017-07-10    2017  191  Mon  9     6.596   7.736   7.736   0.989   6.747   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.173   1.173   1.173   1.023   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  36.204 116.291  12.211  43.004  61.077   0.000   0.000   0.000   0.000   0.386   1.000   3.141
2017-192  2017-07-11    2017  192  Tue  10    4.699   5.503   5.503   0.705   4.798   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.171   1.171   1.171   1.021   1.000   1.000   1.000  19.074   0.000   0.000   0.000   5.633   0.000   3.141  61.077  43.004  36.204 113.280   9.200  43.004  61.077   0.000   0.000   0.000   0.000   0.380   1.000   3.141
2017-193  2017-07-12    2017  193  Wed  11    3.251   3.809   3.809   0.488   3.321   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.172   1.172   1.172   1.022   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  36.204 106.331   2.250  43.004  61.077   0.000   0.000   0.000   0.000   0.367   1.000   3.141
2017-194  2017-07-13    2017  194  Thu  12    5.062   5.887   5.887   0.759   5.128   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.163   1.163   1.163   1.013   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.302  61.077  43.004  36.204  97.303   0.000  36.226  61.077   6.778   0.000   0.000   0.158   0.348   0.949   0.302
2017-195  2017-07-14    2017  195  Fri  13    5.727   6.691   6.691   0.859   5.832   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.168   1.168   1.168   1.018   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.127  61.077  43.004  36.204  90.310   0.000  29.233  61.077  13.771   0.000   0.000   0.320   0.334   0.897   0.127
2017-196  2017-07-15    2017  196  Sat  14    5.311   6.229   6.229   0.797   5.432   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.173   1.173   1.173   1.023   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.064  61.077  43.004  36.204  83.954   0.000  22.878  61.077  20.126   0.000   0.000   0.468   0.322   0.849   0.064
2017-197  2017-07-16    2017  197  Sun  15    4.855   5.658   5.658   0.728   4.930   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.165   1.165   1.165   1.015   1.000   1.000   1.000  17.218   0.000   0.000   0.000   7.621   0.000   0.078  61.077  43.004  36.204  85.853   0.000  24.777  61.077  18.227   0.000   0.000   0.424   0.326   0.863   0.078
2017-198  2017-07-17    2017  198  Mon  16    3.756   4.381   4.381   0.563   3.817   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.166   1.166   1.166   1.016   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.049  61.077  43.004  36.204  81.394   0.000  20.318  61.077  22.686   0.000   0.000   0.528   0.317   0.830   0.049
2017-199  2017-07-18    2017  199  Tue  17    4.823   5.611   5.611   0.723   4.888   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.163   1.163   1.163   1.013   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.027  61.077  43.004  36.204  75.734   0.000  14.658  61.077  28.346   0.000   0.000   0.659   0.305   0.788   0.027
2017-200  2017-07-19    2017  200  Wed  18    5.661   6.524   6.524   0.849   5.674   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.152   1.152   1.152   1.002   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.014  61.077  43.004  36.204  69.183   0.000   8.107  61.077  34.897   0.000   0.000   0.811   0.292   0.738   0.014
2017-201  2017-07-20    2017  201  Thu  19    3.594   4.210   4.210   0.539   3.671   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.171   1.171   1.171   1.021   1.000   1.000   1.000   0.000   0.014 104.897   0.000   7.832   0.000   3.141  61.077  43.004  36.204 177.688  73.607  43.004  61.077   0.000   0.000   0.000   0.000   0.509   1.000   3.141
2017-202  2017-07-21    2017  202  Fri  20    5.358   6.220   6.220   0.804   5.417   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.161   1.161   1.161   1.011   1.000   1.000   1.000   2.509   3.141   0.000   0.000   6.049   0.000   3.141  61.077  43.004  36.204 174.375  70.295  43.004  61.077   0.000   0.000   0.000   0.000   0.503   1.000   3.141
2017-203  2017-07-22    2017  203  Sat  21    5.289   6.292   6.292   0.793   5.499   0.200   1.000   0.050   0.500   0.000   0.150   0.150   1.190   1.190   1.190   1.040   1.000   1.000   1.000   8.008   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  36.204 164.942  60.861  43.004  61.077   0.000   0.000   0.000   0.000   0.484   1.000   3.141
