Method,Year,Season,Planting_Date,Irrig_Crit_Source,Irrig_Crit,ETref,ETc,ETcadj,E,T,DP,K,Rain,Irrig,Gross_Irrig,Num_Irrig,Mean_Irrig,Veff_end
DSR,1989,120,1989-05-15,madDs,0.94,723.941,706.731,698.102,336.725,361.377,494.057,4.336,483.44,757.221,984.388,20,37.861,49.265
DSR,1989,120,1989-06-01,madDs,0.75,648.117,669.238,663.355,322.735,340.619,452.761,3.907,482.51,685.758,891.485,21,32.655,52.794
DSR,1989,120,1989-06-01,madDs,0.94,648.117,650.752,643.127,304.249,338.878,480.987,4.47,482.51,701.728,912.247,19,36.933,60.767
DSR,1989,120,1989-05-15,madDs,0.75,723.941,725.573,717.625,355.567,362.058,436.286,3.796,483.44,718.973,934.665,22,32.681,49.265
DSR,1989,120,1989-06-01,madDs,0.47,648.117,682.309,678.653,335.806,342.848,576.92,4.971,482.51,836.597,1087.577,32,26.144,64.176
DSR,1989,120,1989-06-01,mad,0.06,648.117,654.723,616.145,308.22,307.926,262.206,2.308,482.51,427.418,555.644,33,12.952,32.219
DSR,1989,120,1989-05-15,madDs,0.47,723.941,752.045,746.971,382.038,364.933,476.289,4.149,483.44,788.322,1024.819,33,23.889,49.265
DSR,1989,120,1989-05-15,mad,0.06,723.941,740.023,688.807,370.017,318.79,269.055,2.464,483.44,522.924,679.801,36,14.526,49.265
DSR,1989,120,1989-06-15,madDs,0.94,611.699,611.119,602.835,271.499,331.336,523.289,5.012,476.607,693.962,902.151,18,38.553,44.892
DSR,1989,120,1989-06-15,madDs,0.75,611.699,642.214,638.051,302.595,335.456,487.171,4.527,476.607,703.373,914.385,22,31.972,55.206
DSR,1989,120,1989-06-15,madDs,0.47,611.699,643.415,639.763,303.795,335.968,561.681,5.231,476.607,779.35,1013.155,30,25.978,54.96
DSR,1989,120,1989-07-01,madDs,0.94,579.305,578.089,570.448,236.302,334.146,491.291,4.811,444.73,655.71,852.424,17,38.571,39.248
DSR,1989,120,1989-07-01,madDs,0.75,579.305,609.486,606.234,267.698,338.535,476.289,4.56,444.73,696.111,904.944,21,33.148,58.866
DSR,1989,120,1989-07-01,madDs,0.47,579.305,607.146,605.084,265.358,339.726,506.69,4.756,444.73,714.625,929.012,28,25.522,48.128
