************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:51:14
Simulation start date: 1990-10-29
Simulation end date: 1990-11-08
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 1990 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
1990-302  1990-10-29    1990  302  Mon  0     3.797   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.091   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  42.561   0.000   0.000  42.561  43.004  18.516   0.303   1.000   0.239   0.539   0.007
1990-303  1990-10-30    1990  303  Tue  1     3.720   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.091   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  42.561   0.000   0.000  42.561  43.004  18.516   0.303   1.000   0.239   0.539   0.007
1990-304  1990-10-31    1990  304  Wed  2     4.341   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.110   0.000   0.000   0.000   0.000   1.000   1.000  18.849   0.000   0.000   0.000   1.060   0.000   0.000  61.077  43.004 144.816  43.621   0.000   0.000  43.621  43.004  17.456   0.286   1.000   0.241   0.547   0.008
1990-305  1990-11-01    1990  305  Thu  3     3.936   0.330   0.330   0.000   0.330   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.101   0.084   0.084   0.084   0.076   1.000   1.000  19.179   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  43.291   0.000   0.000  43.291  43.004  17.786   0.291   1.000   0.240   0.544   0.008
1990-306  1990-11-02    1990  306  Fri  4     4.517   0.265   0.265   0.000   0.265   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.120   0.059   0.059   0.059   0.052   1.000   1.000  19.445   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  43.025   0.000   0.000  43.025  43.004  18.051   0.296   1.000   0.240   0.542   0.007
1990-307  1990-11-03    1990  307  Sat  5     4.868   0.183   0.183   0.000   0.183   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.125   0.038   0.038   0.038   0.033   1.000   1.000  19.628   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  42.842   0.000   0.000  42.842  43.004  18.234   0.299   1.000   0.240   0.541   0.007
1990-308  1990-11-04    1990  308  Sun  6     4.527   0.102   0.102   0.000   0.102   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.115   0.023   0.023   0.023   0.020   1.000   1.000  19.730   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  42.740   0.000   0.000  42.740  43.004  18.337   0.300   1.000   0.239   0.540   0.007
1990-309  1990-11-05    1990  309  Mon  7     4.016   0.057   0.057   0.000   0.057   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.097   0.014   0.014   0.014   0.013   1.000   1.000  19.787   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  42.683   0.000   0.000  42.683  43.004  18.393   0.301   1.000   0.239   0.540   0.007
1990-310  1990-11-06    1990  310  Tue  8     3.753   0.036   0.036   0.000   0.036   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.090   0.010   0.010   0.010   0.009   1.000   1.000  19.823   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  42.647   0.000   0.000  42.647  43.004  18.429   0.302   1.000   0.239   0.539   0.007
1990-311  1990-11-07    1990  311  Wed  9     4.248   0.029   0.029   0.000   0.029   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.114   0.007   0.007   0.007   0.006   1.000   1.000  19.852   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  42.618   0.000   0.000  42.618  43.004  18.459   0.302   1.000   0.239   0.539   0.007
1990-312  1990-11-08    1990  312  Thu  10    4.841   0.022   0.022   0.000   0.022   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.128   0.005   0.005   0.005   0.004   1.000   1.000  19.875   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  42.595   0.000   0.000  42.595  43.004  18.481   0.303   1.000   0.239   0.539   0.007
