************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:51:22
Simulation start date: 2018-07-01
Simulation end date: 2018-10-29
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2018 Rice -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2018-182  2018-07-01    2018  182  Sun  0     5.611   6.510   6.510   0.842   5.669   0.140   1.000   0.050   0.500   0.000   0.150   0.150   1.160   1.160   1.160   1.010   1.000   1.000   1.000   9.454   0.000   0.000   0.000  16.124   0.000   3.141  61.077  43.004  25.268 175.374  71.293  43.004  61.077   0.000   0.000   0.000   0.000   0.505   1.000   3.141
2018-183  2018-07-02    2018  183  Mon  1     5.803   6.791   6.791   0.871   5.921   0.128   1.000   0.050   0.500   0.000   0.150   0.150   1.170   1.170   1.170   1.020   1.000   1.000   1.000  15.374   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  23.235 165.442  61.361  43.004  61.077   0.000   0.000   0.000   0.000   0.485   1.000   3.141
2018-184  2018-07-03    2018  184  Tue  2     5.438   6.347   6.347   0.816   5.531   0.146   1.000   0.050   0.500   0.000   0.150   0.150   1.167   1.167   1.167   1.017   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  26.451 155.954  51.873  43.004  61.077   0.000   0.000   0.000   0.000   0.466   1.000   3.141
2018-185  2018-07-04    2018  185  Wed  3     4.879   5.661   5.661   0.732   4.929   0.174   1.000   0.050   0.500   0.000   0.150   0.150   1.160   1.160   1.160   1.010   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  31.421 147.152  43.072  43.004  61.077   0.000   0.000   0.000   0.000   0.448   1.000   3.141
2018-186  2018-07-05    2018  186  Thu  4     6.271   7.309   7.309   0.941   6.368   0.108   1.000   0.050   0.500   0.000   0.150   0.150   1.166   1.166   1.166   1.016   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  19.484 136.702  32.622  43.004  61.077   0.000   0.000   0.000   0.000   0.427   1.000   3.141
2018-187  2018-07-06    2018  187  Fri  5     6.893   8.040   8.040   1.034   7.006   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.166   1.166   1.166   1.016   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 125.521  21.441  43.004  61.077   0.000   0.000   0.000   0.000   0.405   1.000   3.141
2018-188  2018-07-07    2018  188  Sat  6     7.168   8.344   8.344   1.075   7.269   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.164   1.164   1.164   1.014   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 114.036   9.955  43.004  61.077   0.000   0.000   0.000   0.000   0.382   1.000   3.141
2018-189  2018-07-08    2018  189  Sun  7     7.168   8.322   8.322   1.075   7.247   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.161   1.161   1.161   1.011   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.813  61.077  43.004  18.102 102.573   0.000  41.497  61.077   1.507   0.000   0.000   0.035   0.359   0.989   0.813
2018-190  2018-07-09    2018  190  Mon  8     6.890   8.081   8.081   1.033   7.047   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.173   1.173   1.173   1.023   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.188  61.077  43.004  18.102  93.680   0.000  32.603  61.077  10.401   0.000   0.000   0.242   0.341   0.922   0.188
2018-191  2018-07-10    2018  191  Tue  9     6.101   7.151   7.151   0.915   6.236   0.114   1.000   0.050   0.500   0.000   0.150   0.150   1.172   1.172   1.172   1.022   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.082  61.077  43.004  20.627  86.340   0.000  25.264  61.077  17.740   0.000   0.000   0.413   0.327   0.867   0.082
2018-192  2018-07-11    2018  192  Wed  10    4.669   5.468   5.468   0.700   4.768   0.181   1.000   0.050   0.500   0.000   0.150   0.150   1.171   1.171   1.171   1.021   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.046  61.077  43.004  32.813  80.790   0.000  19.713  61.077  23.291   0.000   0.000   0.542   0.315   0.825   0.046
2018-193  2018-07-12    2018  193  Thu  11    5.657   6.628   6.628   0.849   5.780   0.135   1.000   0.050   0.500   0.000   0.150   0.150   1.172   1.172   1.172   1.022   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.023  61.077  43.004  24.415  74.116   0.000  13.039  61.077  29.965   0.000   0.000   0.697   0.302   0.775   0.023
2018-194  2018-07-13    2018  194  Fri  12    3.495   4.066   4.066   0.524   3.541   0.237   1.000   0.050   0.500   0.000   0.150   0.150   1.163   1.163   1.163   1.013   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.015  61.077  43.004  42.970  70.027   0.000   8.950  61.077  34.054   0.000   0.000   0.792   0.294   0.745   0.015
2018-195  2018-07-14    2018  195  Sat  13    4.293   5.019   5.019   0.644   4.375   0.199   1.000   0.050   0.500   0.000   0.150   0.150   1.169   1.169   1.169   1.019   1.000   1.000   1.000   0.000   0.015  34.054   0.000   0.000   0.000   0.393  61.077  43.004  36.067  99.046   0.000  37.970  61.077   5.034   0.000   0.000   0.117   0.352   0.962   0.393
