ID,Crop_Type,Year,Season,Planting_Date,Irrig_Crit_Source,Irrig_Crit,ETref,ETc,ETcadj,E,T,DP,K,Rain,Runoff,Irrig,IrrLoss,Gross_Irrig,Num_Irrig,Mean_Irrig,Veff_ini,Veff_end,theta0
3,Rice,1991,120,1991-07-01,madDs,0.74,683.956,732.622,727.325,360.936,366.389,173.551,1.607,270.274,0.0,663.608,0.0,862.69,15,44.241,0.0,33.005,0.22
3,Fallow,1991,10,1991-10-29,NaN,0.0,45.254,6.995,6.995,6.995,0.0,0.0,0.003,7.15,0.0,0.0,0.0,0.0,0,,33.061,33.216,0.22
3,Wheat,1991,125,1991-11-08,mad,0.5,391.897,265.361,265.361,8.978,256.383,0.0,0.0,64.188,0.0,152.906,0.0,198.778,2,76.453,13.224,17.181,0.168
7,Rice,1995,120,1995-07-01,madDs,0.74,593.478,635.783,635.649,311.53,324.12,331.602,2.818,706.477,0.0,315.818,0.0,410.563,5,63.164,0.0,55.043,0.264
7,Fallow,1995,10,1995-10-29,NaN,0.0,46.453,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0,,55.061,55.061,0.264
7,Wheat,1995,125,1995-11-08,mad,0.5,409.011,270.891,270.891,6.227,264.664,0.94,0.001,128.309,0.0,75.064,0.0,97.583,1,75.064,22.024,4.201,0.157
6,Rice,1994,120,1994-07-01,madDs,0.74,562.521,606.103,605.515,266.597,338.918,373.693,2.92,782.18,0.0,238.446,0.0,309.98,4,59.611,0.0,41.417,0.237
6,Fallow,1994,10,1994-10-29,NaN,0.0,45.413,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0,,41.56,41.56,0.237
6,Wheat,1994,125,1994-11-08,mad,0.5,374.557,258.419,258.419,8.756,249.663,12.826,0.0,75.05,0.0,147.503,0.0,191.753,2,73.751,16.624,17.482,0.168
8,Rice,1996,120,1996-07-01,madDs,0.74,550.05,591.079,590.258,281.861,308.397,293.808,2.355,556.904,0.0,364.702,0.0,474.113,7,52.1,0.0,37.54,0.229
8,Fallow,1996,10,1996-10-29,NaN,0.0,50.114,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0,,37.561,37.561,0.229
8,Wheat,1996,125,1996-11-08,mad,0.5,452.03,321.682,321.682,11.029,310.653,0.0,0.0,14.259,0.0,213.607,0.0,277.688,3,71.202,15.024,0.0,0.154
2,Rice,1990,120,1990-07-01,madDs,0.74,560.435,595.384,595.235,283.815,311.421,220.657,1.944,470.972,0.0,387.431,0.0,503.66,7,55.347,0.0,42.511,0.239
2,Fallow,1990,10,1990-10-29,NaN,0.0,46.564,1.026,1.026,1.026,0.0,0.0,0.007,1.06,0.0,0.0,0.0,0.0,0,,42.561,42.595,0.239
2,Wheat,1990,125,1990-11-08,mad,0.5,388.595,277.21,277.21,17.843,259.367,18.394,0.0,57.544,0.0,224.051,0.0,291.266,3,74.684,17.024,53.635,0.199
1,Rice,1989,120,1989-07-01,madDs,0.74,627.236,670.823,669.079,329.035,340.044,229.445,2.035,476.607,0.0,456.162,0.0,593.01,9,50.685,0.0,34.244,0.222
1,Fallow,1989,10,1989-10-29,NaN,0.0,45.698,0.111,0.111,0.111,0.0,0.0,0.002,0.135,0.0,0.0,0.0,0.0,0,,34.061,34.084,0.222
