************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:51:21
Simulation start date: 2009-11-08
Simulation end date: 2010-03-13
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2009 Wheat -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2009-312  2009-11-08    2009  312  Sun  0     3.637   0.545   0.545   0.545   0.000   0.728   1.000   0.050   0.200   0.000   0.150   0.150   1.157   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  24.431   0.000  17.790  10.279   0.000   0.000   0.000   0.000  14.152   0.579   0.000   0.205   0.412   0.001
2009-313  2009-11-09    2009  313  Mon  1     4.154   0.623   0.623   0.623   0.000   0.725   1.000   0.050   0.222   0.000   0.150   0.150   1.174   0.150   0.150   0.000   0.000   1.000   1.000   5.757   0.000  14.152   0.000   0.000   0.000   0.000  27.145   0.000  19.682  23.808   0.000   0.000   0.000   0.000   0.623   0.023   0.000   0.261   0.621   0.026
2009-314  2009-11-10    2009  314  Tue  2     3.955   4.603   4.603   0.593   4.010   0.566   1.000   0.050   0.244   0.000   0.150   0.150   1.164   1.164   1.164   1.014   1.000   1.000   1.000   9.767   0.000   0.000   0.000   0.000   0.000   0.000  29.860   0.000  16.897  19.205   0.000   0.000   0.000   0.000   5.226   0.175   0.000   0.232   0.514   0.004
2009-315  2009-11-11    2009  315  Wed  3     4.061   3.630   3.630   0.609   3.021   0.605   1.000   0.050   0.267   0.000   0.150   0.150   1.170   0.894   0.894   0.744   0.729   1.000   1.000  12.788   0.000   0.000   0.000   0.000   0.000   0.000  32.574   0.000  19.701  15.574   0.000   0.000   0.000   0.000   8.856   0.272   0.000   0.212   0.439   0.001
2009-316  2009-11-12    2009  316  Thu  4     2.991   1.993   1.993   0.449   1.545   0.670   1.000   0.050   0.289   0.000   0.150   0.150   1.159   0.667   0.667   0.517   0.512   1.000   1.000  14.333   0.000   0.000   0.000   0.000   0.000   0.000  35.289   0.000  23.653  13.581   0.000   0.000   0.000   0.000  10.849   0.307   0.000   0.201   0.396   0.000
2009-317  2009-11-13    2009  317  Fri  5     1.024   0.566   0.566   0.154   0.413   0.727   1.000   0.050   0.311   0.000   0.150   0.150   1.156   0.553   0.553   0.403   0.401   1.000   1.000  14.746   0.000   0.000   0.000   0.000   0.000   0.000  38.003   0.000  27.641  13.015   0.000   0.000   0.000   0.000  11.416   0.300   0.000   0.196   0.377   0.000
2009-318  2009-11-14    2009  318  Sat  6     2.002   1.045   1.045   0.300   0.745   0.708   1.000   0.050   0.333   0.000   0.150   0.150   1.153   0.522   0.522   0.372   0.371   1.000   1.000  15.491   0.000   0.000   0.000   0.000   0.000   0.000  40.718   0.000  28.836  11.969   0.000   0.000   0.000   0.000  12.461   0.306   0.000   0.190   0.354   0.000
2009-319  2009-11-15    2009  319  Sun  7     2.384   1.121   1.121   0.358   0.764   0.705   1.000   0.050   0.356   0.000   0.150   0.150   1.158   0.470   0.470   0.320   0.318   1.000   1.000  16.255   0.000   0.000   0.000   0.000   0.000   0.000  43.432   0.000  30.626  10.848   0.000   0.000   0.000   0.000  13.583   0.313   0.000   0.184   0.334   0.000
2009-320  2009-11-16    2009  320  Mon  8     3.227   1.339   1.339   0.484   0.855   0.696   1.000   0.050   0.378   0.000   0.150   0.150   1.158   0.415   0.415   0.265   0.263   1.000   1.000  17.109   0.000   0.000   0.000   0.000   0.000   0.000  46.147   0.000  32.139   9.509   0.000   0.000   0.000   0.000  14.921   0.323   0.000   0.179   0.314   0.000
2009-321  2009-11-17    2009  321  Tue  9     3.538   1.252   1.252   0.531   0.721   0.700   1.000   0.050   0.400   0.000   0.150   0.150   1.162   0.354   0.354   0.204   0.201   1.000   1.000  17.830   0.000   0.000   0.000   0.000   0.000   0.000  48.861   0.000  34.199   8.257   0.000   0.000   0.000   0.000  16.173   0.331   0.000   0.175   0.297   0.000
2009-322  2009-11-18    2009  322  Wed  10    4.918   1.505   1.505   0.738   0.767   0.690   1.000   0.050   0.422   0.000   0.150   0.150   1.194   0.306   0.306   0.156   0.149   1.000   1.000  18.598   0.000   0.000   0.000   0.000   0.000   0.000  51.576   0.000  35.577   6.752   0.000   0.000   0.000   0.000  17.678   0.343   0.000   0.170   0.280   0.000
2009-323  2009-11-19    2009  323  Thu  11    4.814   1.200   1.200   0.722   0.478   0.702   1.000   0.050   0.444   0.000   0.150   0.150   1.202   0.249   0.249   0.099   0.094   1.000   1.000  19.075   0.000   0.000   0.000   0.000   0.000   0.000  54.290   0.000  38.112   5.553   0.000   0.000   0.000   0.000  18.878   0.348   0.000   0.166   0.267   0.000
2009-324  2009-11-20    2009  324  Fri  12    4.240   0.903   0.903   0.636   0.267   0.714   1.000   0.050   0.467   0.000   0.150   0.150   1.200   0.213   0.213   0.063   0.060   1.000   1.000  19.342   0.000   0.000   0.000   0.000   0.000   0.000  57.005   0.000  40.694   4.650   0.000   0.000   0.000   0.000  19.781   0.347   0.000   0.164   0.257   0.000
2009-325  2009-11-21    2009  325  Sat  13    3.627   0.698   0.698   0.544   0.154   0.722   1.000   0.050   0.489   0.000   0.150   0.150   1.189   0.192   0.192   0.042   0.041   1.000   1.000  19.496   0.000   0.000   0.000   0.000   0.000   0.000  59.719   0.000  43.123   3.952   0.000   0.000   0.000   0.000  20.478   0.343   0.000   0.162   0.250   0.000
2009-326  2009-11-22    2009  326  Sun  14    2.870   0.517   0.517   0.431   0.087   0.729   1.000   0.050   0.511   0.000   0.150   0.150   1.168   0.180   0.180   0.030   0.030   1.000   1.000  19.583   0.000   0.000   0.000   0.000   0.000   0.000  62.434   0.000  45.533   3.435   0.000   0.000   0.000   0.000  20.996   0.336   0.000   0.161   0.245   0.000
2009-327  2009-11-23    2009  327  Mon  15    3.687   0.642   0.642   0.553   0.089   0.724   1.000   0.050   0.533   0.000   0.150   0.150   1.178   0.174   0.174   0.024   0.023   1.000   1.000  19.672   0.000   0.000   0.000   0.000   0.000   0.000  65.148   0.000  47.188   2.793   0.000   0.000   0.000   0.000  21.638   0.332   0.000   0.159   0.239   0.000
2009-328  2009-11-24    2009  328  Tue  16    4.168   0.825   0.825   0.753   0.072   0.717   1.000   0.084   0.556   0.026   0.181   0.181   1.188   0.198   0.198   0.017   0.017   1.000   0.974  19.745   0.000   0.000   0.000   0.000   0.000   0.000  67.863   0.000  48.657   1.968   0.000   0.000   0.000   0.000  22.463   0.331   0.000   0.157   0.233   0.000
2009-329  2009-11-25    2009  329  Wed  17    3.914   0.870   0.870   0.825   0.045   0.715   1.000   0.117   0.578   0.050   0.211   0.211   1.175   0.222   0.222   0.011   0.012   1.000   0.950  19.792   0.000   0.000   0.000   0.000   0.000   0.000  70.577   0.000  50.477   1.098   0.000   0.000   0.000   0.000  23.333   0.331   0.000   0.156   0.227   0.000
2009-330  2009-11-26    2009  330  Thu  18    4.393   1.095   1.095   1.060   0.035   0.706   1.000   0.151   0.600   0.074   0.241   0.241   1.181   0.249   0.249   0.008   0.008   1.000   0.926  19.830   0.000   0.000   0.000   0.000   0.000   0.000  73.292   0.000  51.758   0.003   0.000   0.000   0.000   0.000  24.428   0.333   0.000   0.154   0.220   0.000
