ID,Crop_Type,Year,Season,Planting_Date,Irrig_Crit_Source,Irrig_Crit,ETref,ETc,ETcadj,E,T,DP,K,Rain,Runoff,Irrig,IrrLoss,Gross_Irrig,Num_Irrig,Mean_Irrig,Veff_ini,Veff_end,theta0
2,Rice,1990,135,1990-06-11,madVp,10.0,711.6,761.722,761.722,402.082,359.64,435.092,3.267,487.76,0.0,757.874,0.0,985.237,8,94.734,0.0,48.819,0.252
2,Fallow,1990,10,1990-10-24,NaN,0.0,46.668,0.779,0.779,0.779,0.0,0.0,0.016,1.06,0.0,0.0,0.0,0.0,0,,49.061,49.342,0.253
2,Wheat,1990,125,1990-11-03,mad,0.5,386.749,270.203,270.203,16.209,253.994,0.0,0.0,57.544,0.0,149.825,0.0,194.773,2,74.913,19.824,8.092,0.161
8,Rice,1996,135,1996-06-11,madVp,10.0,651.621,703.127,703.127,364.377,338.751,472.032,3.516,599.78,0.0,651.831,0.0,847.38,7,93.119,0.0,76.482,0.307
8,Fallow,1996,10,1996-10-24,NaN,0.0,49.874,19.08,19.08,19.08,0.0,0.377,0.062,0.0,0.0,0.0,0.0,0.0,0,,76.56,56.798,0.267
8,Wheat,1996,125,1996-11-03,mad,0.5,449.345,318.049,318.049,10.004,308.045,0.0,0.001,14.259,0.0,220.975,0.0,287.267,3,73.658,22.624,0.0,0.154
1,Rice,1989,135,1989-06-11,madVp,10.0,752.454,815.53,815.53,425.708,389.821,466.272,3.462,489.67,0.0,856.037,0.0,1112.849,9,95.115,0.0,63.914,0.282
1,Fallow,1989,10,1989-10-24,NaN,0.0,44.698,4.227,4.227,4.227,0.0,0.0,0.053,0.01,0.0,0.0,0.0,0.0,0,,64.06,59.76,0.273
1,Wheat,1989,125,1989-11-03,mad,0.5,388.485,273.03,273.03,11.202,261.828,48.386,0.001,88.061,0.0,224.005,0.0,291.206,3,74.668,23.824,66.848,0.21
7,Rice,1995,135,1995-06-11,madVp,10.0,758.026,812.126,812.126,446.398,365.728,487.45,3.633,771.867,0.0,661.693,0.0,860.202,7,94.528,0.0,137.126,0.428
7,Fallow,1995,10,1995-10-24,NaN,0.0,52.946,38.346,38.346,38.346,0.0,6.106,0.581,0.0,0.0,0.0,0.0,0.0,0,,137.06,60.528,0.275
7,Wheat,1995,125,1995-11-03,mad,0.5,399.381,274.881,274.881,10.287,264.594,51.912,0.001,128.309,0.0,149.806,0.0,194.748,2,74.903,24.224,27.052,0.176
6,Rice,1994,135,1994-06-11,madVp,10.0,710.438,761.432,759.735,383.038,376.696,437.219,3.282,775.11,0.0,453.914,0.0,590.088,5,90.783,0.0,32.07,0.218
6,Fallow,1994,10,1994-10-24,NaN,0.0,47.681,6.915,6.915,6.915,0.0,0.0,0.002,7.07,0.0,0.0,0.0,0.0,0,,32.061,32.216,0.218
6,Wheat,1994,125,1994-11-03,mad,0.5,368.387,260.375,260.375,11.539,248.836,0.0,0.0,75.05,0.0,147.854,0.0,192.211,2,73.927,12.824,25.169,0.175
5,Rice,1993,135,1993-06-11,madVp,10.0,768.781,820.761,820.761,429.397,391.364,466.148,3.484,498.003,0.0,857.973,0.0,1115.365,9,95.33,0.0,69.081,0.292
