************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:50:28
Simulation start date: 1998-10-24
Simulation end date: 1998-11-03
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 1998 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
1998-297  1998-10-24    1998  297  Sat  0     4.157   4.592   4.592   0.000   4.592   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.105   1.105   1.105   1.105   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000  32.081  61.077  43.004 144.816 193.888  89.808  43.004  61.077   0.000   0.000   0.000   0.000   0.542   1.000  32.081
1998-298  1998-10-25    1998  298  Sun  1     4.232   4.681   4.681   0.000   4.681   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.106   1.106   1.106   1.106   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000  32.081  61.077  43.004 144.816 157.126  53.046  43.004  61.077   0.000   0.000   0.000   0.000   0.468   1.000  32.081
1998-299  1998-10-26    1998  299  Mon  2     4.374   4.851   4.851   0.000   4.851   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.109   1.109   1.109   1.109   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000  32.081  61.077  43.004 144.816 120.194  16.114  43.004  61.077   0.000   0.000   0.000   0.000   0.394   1.000  32.081
1998-300  1998-10-27    1998  300  Tue  3     4.592   5.136   5.136   0.000   5.136   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.118   1.118   1.118   1.118   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.590  61.077  43.004 144.816  82.978   0.000  21.901  61.077  21.103   0.000   0.000   0.491   0.320   0.842   0.590
1998-301  1998-10-28    1998  301  Wed  4     4.666   5.222   5.222   0.000   5.222   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.119   1.119   1.119   1.119   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.325  61.077  43.004 144.816  77.166   0.000  16.090  61.077  26.914   0.000   0.000   0.626   0.308   0.798   0.325
1998-302  1998-10-29    1998  302  Thu  5     4.437   4.947   4.947   0.000   4.947   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.115   1.115   1.115   1.115   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.189  61.077  43.004 144.816  71.894   0.000  10.818  61.077  32.186   0.000   0.000   0.748   0.298   0.759   0.189
1998-303  1998-10-30    1998  303  Fri  6     3.854   4.230   4.230   0.000   4.230   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.098   1.098   1.098   1.098   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.120  61.077  43.004 144.816  67.475   0.000   6.398  61.077  36.606   0.000   0.000   0.851   0.289   0.726   0.120
1998-304  1998-10-31    1998  304  Sat  7     3.659   3.986   3.986   0.000   3.986   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.089   1.089   1.089   1.089   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.078  61.077  43.004 144.816  63.368   0.000   2.292  61.077  40.712   0.000   0.000   0.947   0.281   0.695   0.078
1998-305  1998-11-01    1998  305  Sun  8     3.456   3.738   3.738   0.000   3.738   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.082   1.082   1.082   1.082   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  59.552   0.000   0.000  59.552  43.004   1.524   0.025   1.000   0.273   0.666   0.052
1998-306  1998-11-02    1998  306  Mon  9     3.608   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.094   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  59.552   0.000   0.000  59.552  43.004   1.524   0.025   1.000   0.273   0.666   0.052
1998-307  1998-11-03    1998  307  Tue  10    4.434   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.117   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  59.552   0.000   0.000  59.552  43.004   1.524   0.025   1.000   0.273   0.666   0.052
