************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:50:31
Simulation start date: 2008-10-24
Simulation end date: 2008-11-03
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2008 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2008-298  2008-10-24    2008  298  Fri  0     4.483   4.903   4.903   0.000   4.903   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.094   1.094   1.094   1.094   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.218  61.077  43.004 144.816  73.283   0.000  12.207  61.077  30.797   0.000   0.000   0.716   0.300   0.769   0.218
2008-299  2008-10-25    2008  299  Sat  1     4.490   4.936   4.936   0.000   4.936   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.099   1.099   1.099   1.099   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.128  61.077  43.004 144.816  68.129   0.000   7.052  61.077  35.952   0.000   0.000   0.836   0.290   0.731   0.128
2008-300  2008-10-26    2008  300  Sun  2     4.308   4.737   4.737   0.000   4.737   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.100   1.100   1.100   1.100   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.077  61.077  43.004 144.816  63.264   0.000   2.187  61.077  40.817   0.000   0.000   0.949   0.280   0.694   0.077
2008-301  2008-10-27    2008  301  Mon  3     5.112   5.764   5.764   0.000   5.764   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.128   1.128   1.128   1.128   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  57.423   0.000   0.000  57.423  43.004   3.654   0.060   1.000   0.269   0.650   0.041
2008-302  2008-10-28    2008  302  Tue  4     4.042   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.092   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  57.423   0.000   0.000  57.423  43.004   3.654   0.060   1.000   0.269   0.650   0.041
2008-303  2008-10-29    2008  303  Wed  5     3.870   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.089   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  57.423   0.000   0.000  57.423  43.004   3.654   0.060   1.000   0.269   0.650   0.041
2008-304  2008-10-30    2008  304  Thu  6     4.433   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.107   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  57.423   0.000   0.000  57.423  43.004   3.654   0.060   1.000   0.269   0.650   0.041
2008-305  2008-10-31    2008  305  Fri  7     6.161   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.159   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  57.423   0.000   0.000  57.423  43.004   3.654   0.060   1.000   0.269   0.650   0.041
2008-306  2008-11-01    2008  306  Sat  8     5.765   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.137   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  57.423   0.000   0.000  57.423  43.004   3.654   0.060   1.000   0.269   0.650   0.041
2008-307  2008-11-02    2008  307  Sun  9     5.010   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.114   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  57.423   0.000   0.000  57.423  43.004   3.654   0.060   1.000   0.269   0.650   0.041
2008-308  2008-11-03    2008  308  Mon  10    3.996   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.088   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  57.423   0.000   0.000  57.423  43.004   3.654   0.060   1.000   0.269   0.650   0.041
