************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:50:28
Simulation start date: 2002-06-11
Simulation end date: 2002-10-24
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2002 Rice -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2002-162  2002-06-11    2002  162  Tue  0     9.235  10.903  10.903   1.385   9.518   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.181   1.181   1.181   1.031   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 108.991   4.910  43.004  61.077   0.000   0.000   0.000   0.000   0.372   1.000   3.141
2002-163  2002-06-12    2002  163  Wed  1     7.905   9.307   9.307   1.186   8.121   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.177   1.177   1.177   1.027   1.000   1.000   1.000   0.000   3.141 100.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 196.543  92.463  43.004  61.077   0.000   0.000   0.000   0.000   0.547   1.000   3.141
2002-164  2002-06-13    2002  164  Thu  2     8.166   9.504   9.504   1.225   8.279   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.164   1.164   1.164   1.014   1.000   1.000   1.000   8.279   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 183.899  79.818  43.004  61.077   0.000   0.000   0.000   0.000   0.522   1.000   3.141
2002-165  2002-06-14    2002  165  Fri  3     7.900   9.185   9.185   1.185   8.000   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.163   1.163   1.163   1.013   1.000   1.000   1.000  16.279   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 171.572  67.492  43.004  61.077   0.000   0.000   0.000   0.000   0.497   1.000   3.141
2002-166  2002-06-15    2002  166  Sat  4     8.164   9.504   9.504   1.225   8.279   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.164   1.164   1.164   1.014   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 158.928  54.847  43.004  61.077   0.000   0.000   0.000   0.000   0.472   1.000   3.141
2002-167  2002-06-16    2002  167  Sun  5     7.945   9.283   9.283   1.192   8.091   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.168   1.168   1.168   1.018   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 146.504  42.424  43.004  61.077   0.000   0.000   0.000   0.000   0.447   1.000   3.141
2002-168  2002-06-17    2002  168  Mon  6     6.884   7.988   7.988   1.033   6.955   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.160   1.160   1.160   1.010   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 135.376  31.295  43.004  61.077   0.000   0.000   0.000   0.000   0.425   1.000   3.141
2002-169  2002-06-18    2002  169  Tue  7     8.090   9.514   9.514   1.213   8.301   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.176   1.176   1.176   1.026   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 122.721  18.640  43.004  61.077   0.000   0.000   0.000   0.000   0.399   1.000   3.141
2002-170  2002-06-19    2002  170  Wed  8     6.727   7.869   7.869   1.009   6.860   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.170   1.170   1.170   1.020   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 111.711   7.630  43.004  61.077   0.000   0.000   0.000   0.000   0.377   1.000   3.141
2002-171  2002-06-20    2002  171  Thu  9     8.178   9.559   9.559   1.227   8.332   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.169   1.169   1.169   1.019   1.000   1.000   1.000   0.000   3.141 100.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 199.011  94.930  43.004  61.077   0.000   0.000   0.000   0.000   0.552   1.000   3.141
2002-172  2002-06-21    2002  172  Fri  10    8.277   9.689   9.689   1.241   8.448   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.171   1.171   1.171   1.021   1.000   1.000   1.000   8.448   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 186.181  82.100  43.004  61.077   0.000   0.000   0.000   0.000   0.526   1.000   3.141
2002-173  2002-06-22    2002  173  Sat  11    7.915   9.204   9.204   1.187   8.017   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.163   1.163   1.163   1.013   1.000   1.000   1.000  16.465   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 173.835  69.755  43.004  61.077   0.000   0.000   0.000   0.000   0.502   1.000   3.141
2002-174  2002-06-23    2002  174  Sun  12    8.138   9.646   9.646   1.221   8.426   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.185   1.185   1.185   1.035   1.000   1.000   1.000  19.320   0.000   0.000   0.000   5.571   0.000   3.141  61.077  43.004  18.102 166.619  62.538  43.004  61.077   0.000   0.000   0.000   0.000   0.487   1.000   3.141
2002-175  2002-06-24    2002  175  Mon  13    5.981   7.068   7.068   0.897   6.171   0.117   1.000   0.050   0.500   0.000   0.150   0.150   1.182   1.182   1.182   1.032   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  21.229 156.409  52.329  43.004  61.077   0.000   0.000   0.000   0.000   0.467   1.000   3.141
2002-176  2002-06-25    2002  176  Tue  14    7.233   8.424   8.424   1.085   7.339   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.165   1.165   1.165   1.015   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 144.844  40.764  43.004  61.077   0.000   0.000   0.000   0.000   0.444   1.000   3.141
2002-177  2002-06-26    2002  177  Wed  15    7.701   9.060   9.060   1.155   7.905   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.176   1.176   1.176   1.026   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 132.643  28.562  43.004  61.077   0.000   0.000   0.000   0.000   0.419   1.000   3.141
2002-178  2002-06-27    2002  178  Thu  16    6.780   7.994   7.994   1.017   6.977   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.179   1.179   1.179   1.029   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 121.508  17.428  43.004  61.077   0.000   0.000   0.000   0.000   0.397   1.000   3.141
2002-179  2002-06-28    2002  179  Fri  17    6.924   8.089   8.089   1.039   7.050   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.168   1.168   1.168   1.018   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 110.278   6.198  43.004  61.077   0.000   0.000   0.000   0.000   0.374   1.000   3.141
2002-180  2002-06-29    2002  180  Sat  18    6.811   7.894   7.894   1.022   6.872   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.159   1.159   1.159   1.009   1.000   1.000   1.000   0.000   3.141 100.000   0.000   4.249   0.000   3.141  61.077  43.004  18.102 203.493  99.413  43.004  61.077   0.000   0.000   0.000   0.000   0.561   1.000   3.141
2002-181  2002-06-30    2002  181  Sun  19    6.699   7.737   7.737   1.005   6.732   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.155   1.155   1.155   1.005   1.000   1.000   1.000   6.732   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 192.615  88.534  43.004  61.077   0.000   0.000   0.000   0.000   0.539   1.000   3.141
2002-182  2002-07-01    2002  182  Mon  20    7.770   9.122   9.122   1.166   7.956   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.174   1.174   1.174   1.024   1.000   1.000   1.000  14.688   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 180.352  76.272  43.004  61.077   0.000   0.000   0.000   0.000   0.515   1.000   3.141
2002-183  2002-07-02    2002  183  Tue  21    7.007   8.209   8.209   1.051   7.158   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.172   1.172   1.172   1.022   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 169.002  64.922  43.004  61.077   0.000   0.000   0.000   0.000   0.492   1.000   3.141
2002-184  2002-07-03    2002  184  Wed  22    6.852   8.015   8.015   1.028   6.987   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.170   1.170   1.170   1.020   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 157.847  53.766  43.004  61.077   0.000   0.000   0.000   0.000   0.470   1.000   3.141
2002-185  2002-07-04    2002  185  Thu  23    6.249   7.310   7.310   0.937   6.372   0.108   1.000   0.050   0.500   0.000   0.150   0.150   1.170   1.170   1.170   1.020   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  19.480 147.396  43.316  43.004  61.077   0.000   0.000   0.000   0.000   0.449   1.000   3.141
2002-186  2002-07-05    2002  186  Fri  24    4.994   5.780   5.780   0.749   5.031   0.169   1.000   0.050   0.500   0.000   0.150   0.150   1.157   1.157   1.157   1.007   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  30.558 138.475  34.395  43.004  61.077   0.000   0.000   0.000   0.000   0.431   1.000   3.141
2002-187  2002-07-06    2002  187  Sat  25    5.993   7.010   7.010   0.899   6.111   0.120   1.000   0.050   0.500   0.000   0.150   0.150   1.170   1.170   1.170   1.020   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  21.649 128.324  24.244  43.004  61.077   0.000   0.000   0.000   0.000   0.411   1.000   3.141
2002-188  2002-07-07    2002  188  Sun  26    6.861   8.078   8.078   1.029   7.049   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.178   1.178   1.178   1.028   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 117.105  13.025  43.004  61.077   0.000   0.000   0.000   0.000   0.388   1.000   3.141
2002-189  2002-07-08    2002  189  Mon  27    8.025   9.476   9.476   1.204   8.273   0.100   1.000   0.050   0.500   0.000   0.150   0.150   1.181   1.181   1.181   1.031   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.141  61.077  43.004  18.102 104.488   0.407  43.004  61.077   0.000   0.000   0.000   0.000   0.363   1.000   3.141
