************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:50:29
Simulation start date: 1997-11-03
Simulation end date: 1998-03-08
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 1997 Wheat -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
1997-307  1997-11-03    1997  307  Mon  0     3.436   0.515   0.515   0.515   0.000   0.729   1.000   0.050   0.200   0.000   0.150   0.150   1.157   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  24.431   0.000  17.819  23.709   0.000   0.000   0.000   0.000   0.722   0.030   0.000   0.272   0.664   0.050
1997-308  1997-11-04    1997  308  Tue  1     3.670   0.551   0.551   0.551   0.000   0.728   1.000   0.050   0.222   0.000   0.150   0.150   1.162   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  27.145   0.000  19.761  23.158   0.000   0.000   0.000   0.000   1.272   0.047   0.000   0.258   0.610   0.022
1997-309  1997-11-05    1997  309  Wed  2     3.593   0.539   0.539   0.539   0.000   0.728   1.000   0.050   0.244   0.000   0.150   0.150   1.160   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  29.860   0.000  21.751  22.619   0.000   0.000   0.000   0.000   1.811   0.061   0.000   0.246   0.567   0.011
1997-310  1997-11-06    1997  310  Thu  3     3.095   0.464   0.464   0.464   0.000   0.731   1.000   0.050   0.267   0.000   0.150   0.150   1.153   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  32.574   0.000  23.826  22.155   0.000   0.000   0.000   0.000   2.276   0.070   0.000   0.237   0.531   0.006
1997-311  1997-11-07    1997  311  Fri  4     3.115   0.467   0.467   0.467   0.000   0.731   1.000   0.050   0.289   0.000   0.150   0.150   1.154   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  35.289   0.000  25.807  21.688   0.000   0.000   0.000   0.000   2.743   0.078   0.000   0.229   0.501   0.004
1997-312  1997-11-08    1997  312  Sat  5     2.915   0.437   0.437   0.437   0.000   0.733   1.000   0.050   0.311   0.000   0.150   0.150   1.154   0.150   0.150   0.000   0.000   1.000   1.000  19.769   0.000   0.000   0.000   0.141   0.000   0.000  38.003   0.000  27.838  21.391   0.000   0.000   0.000   0.000   3.039   0.080   0.000   0.223   0.478   0.002
1997-313  1997-11-09    1997  313  Sun  6     2.307   0.370   0.370   0.346   0.024   0.735   1.000   0.050   0.333   0.000   0.150   0.150   1.175   0.160   0.160   0.010   0.010   1.000   1.000  14.952   0.000   0.000   0.000   4.840   0.000   1.431  40.718   0.000  29.936  25.862   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.231   0.511   0.004
1997-314  1997-11-10    1997  314  Mon  7     2.499   1.284   1.284   0.375   0.910   0.699   1.000   0.050   0.356   0.000   0.150   0.150   1.171   0.514   0.514   0.364   0.356   1.000   1.000  14.914   0.000   0.000   0.000   0.947   0.000   0.000  43.432   0.000  30.343  24.093   0.000   0.000   0.000   0.000   0.337   0.008   0.000   0.222   0.474   0.002
1997-315  1997-11-11    1997  315  Tue  8     2.908   1.488   1.488   0.436   1.052   0.690   1.000   0.050   0.378   0.000   0.150   0.150   1.157   0.512   0.512   0.362   0.359   1.000   1.000  15.966   0.000   0.000   0.000   0.000   0.000   0.000  46.147   0.000  31.864  22.606   0.000   0.000   0.000   0.000   1.825   0.040   0.000   0.214   0.444   0.001
1997-316  1997-11-12    1997  316  Wed  9     3.206   1.401   1.401   0.481   0.920   0.694   1.000   0.050   0.400   0.000   0.150   0.150   1.162   0.437   0.437   0.287   0.283   1.000   1.000  16.886   0.000   0.000   0.000   0.000   0.000   0.000  48.861   0.000  33.908  21.205   0.000   0.000   0.000   0.000   3.226   0.066   0.000   0.207   0.418   0.001
1997-317  1997-11-13    1997  317  Thu  10    3.114   1.149   1.149   0.467   0.682   0.704   1.000   0.050   0.422   0.000   0.150   0.150   1.158   0.369   0.369   0.219   0.217   1.000   1.000  17.568   0.000   0.000   0.000   0.000   0.000   0.000  51.576   0.000  36.311  20.056   0.000   0.000   0.000   0.000   4.375   0.085   0.000   0.201   0.398   0.000
1997-318  1997-11-14    1997  318  Fri  11    2.891   0.922   0.922   0.434   0.488   0.713   1.000   0.050   0.444   0.000   0.150   0.150   1.153   0.319   0.319   0.169   0.168   1.000   1.000  18.056   0.000   0.000   0.000   0.000   0.000   0.000  54.290   0.000  38.716  19.134   0.000   0.000   0.000   0.000   5.296   0.098   0.000   0.197   0.381   0.000
1997-319  1997-11-15    1997  319  Sat  12    3.144   0.894   0.894   0.472   0.422   0.714   1.000   0.050   0.467   0.000   0.150   0.150   1.158   0.284   0.284   0.134   0.133   1.000   1.000  18.478   0.000   0.000   0.000   0.000   0.000   0.000  57.005   0.000  40.715  18.240   0.000   0.000   0.000   0.000   6.190   0.109   0.000   0.193   0.366   0.000
1997-320  1997-11-16    1997  320  Sun  13    3.343   0.849   0.849   0.501   0.348   0.716   1.000   0.050   0.489   0.000   0.150   0.150   1.162   0.254   0.254   0.104   0.103   1.000   1.000  18.826   0.000   0.000   0.000   0.000   0.000   0.000  59.719   0.000  42.761  17.391   0.000   0.000   0.000   0.000   7.040   0.118   0.000   0.189   0.353   0.000
1997-321  1997-11-17    1997  321  Mon  14    3.176   0.727   0.727   0.476   0.250   0.721   1.000   0.050   0.511   0.000   0.150   0.150   1.162   0.229   0.229   0.079   0.078   1.000   1.000  19.077   0.000   0.000   0.000   0.000   0.000   0.000  62.434   0.000  45.011  16.664   0.000   0.000   0.000   0.000   7.766   0.124   0.000   0.186   0.342   0.000
1997-322  1997-11-18    1997  322  Tue  15    2.921   0.615   0.615   0.438   0.176   0.725   1.000   0.050   0.533   0.000   0.150   0.150   1.159   0.210   0.210   0.060   0.060   1.000   1.000  19.253   0.000   0.000   0.000   0.000   0.000   0.000  65.148   0.000  47.260  16.050   0.000   0.000   0.000   0.000   8.381   0.129   0.000   0.184   0.333   0.000
1997-323  1997-11-19    1997  323  Wed  16    2.695   0.602   0.602   0.479   0.123   0.726   1.000   0.081   0.556   0.024   0.178   0.178   1.145   0.223   0.223   0.046   0.047   1.000   0.976  19.379   0.000   0.000   0.000   0.000   0.000   0.000  67.863   0.000  49.264  15.448   0.000   0.000   0.000   0.000   8.983   0.132   0.000   0.182   0.324   0.000
1997-324  1997-11-20    1997  324  Thu  17    2.955   0.715   0.715   0.609   0.106   0.721   1.000   0.112   0.578   0.048   0.206   0.206   1.151   0.242   0.242   0.036   0.038   1.000   0.952  19.491   0.000   0.000   0.000   0.000   0.000   0.000  70.577   0.000  50.913  14.733   0.000   0.000   0.000   0.000   9.698   0.137   0.000   0.179   0.315   0.000
1997-325  1997-11-21    1997  325  Fri  18    2.971   0.779   0.779   0.697   0.082   0.719   1.000   0.144   0.600   0.071   0.235   0.235   1.151   0.262   0.262   0.028   0.030   1.000   0.929  19.579   0.000   0.000   0.000   0.000   0.000   0.000  73.292   0.000  52.685  13.953   0.000   0.000   0.000   0.000  10.477   0.143   0.000   0.177   0.307   0.000
